#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.553656           -0.553656                   0
           2           -0.554104            -0.55388         0.000158392
           3            -0.55452           -0.554093         0.000203693
           4           -0.556332           -0.554653         0.000508192
           5           -0.555132           -0.554749         0.000415485
           6           -0.555092           -0.554806         0.000350153
           7           -0.555432           -0.554895         0.000311341
           8           -0.555912           -0.555023         0.000297226
           9           -0.554944           -0.555014         0.000264329
          10           -0.556344           -0.555147         0.000269295
          11           -0.554136           -0.555055          0.00026002
          12           -0.554784           -0.555032         0.000239329
          13           -0.554452           -0.554988         0.000225044
          14           -0.553356           -0.554871         0.000237238
          15           -0.551616           -0.554654         0.000304928
          16           -0.557284           -0.554819         0.000327185
          17           -0.554588           -0.554805         0.000308219
          18           -0.554592           -0.554793         0.000291323
          19           -0.553396            -0.55472         0.000285119
          20           -0.555936            -0.55478         0.000277274
