#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             2.17619             2.17619                   0
           2             2.21163             2.19391           0.0125299
           3             2.18204             2.18995          0.00895575
           4             2.28333              2.2133           0.0213034
           5             2.19169             2.20898           0.0174754
           6             2.19719             2.20701           0.0146728
           7              2.1954             2.20535           0.0126702
           8             2.19302             2.20381           0.0111798
           9             2.33794             2.21871           0.0172098
          10             2.17607             2.21445           0.0160085
          11             2.12888             2.20667           0.0163342
          12             2.21073             2.20701           0.0149765
          13             2.24959             2.21028           0.0141781
          14             2.18838             2.20872           0.0132514
          15             2.14447             2.20444           0.0130419
          16             2.22178             2.20552           0.0122718
          17             2.14176             2.20177           0.0121094
          18             2.07849             2.19492           0.0132325
          19             2.21284             2.19586           0.0125696
          20             2.17706             2.19492           0.0119762
