#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.276464            0.276464                   0
           2            0.267059            0.271761          0.00332531
           3            0.268688            0.270737          0.00236937
           4            0.270862            0.270768          0.00177724
           5            0.264575             0.26953          0.00180251
           6            0.270455            0.269684          0.00150867
           7            0.266767            0.269267          0.00134944
           8            0.271486            0.269544          0.00120893
           9            0.274526            0.270098           0.0011946
          10            0.264889            0.269577          0.00118327
          11            0.271653            0.269766          0.00109065
          12            0.278344            0.270481          0.00121158
          13            0.271574            0.270565          0.00112129
          14            0.272288            0.270688          0.00104793
          15            0.274215            0.270923           0.0010041
          16            0.263293            0.270446          0.00104847
          17            0.272603            0.270573         0.000994446
          18            0.270204            0.270552          0.00093941
          19            0.271086            0.270581         0.000890387
          20            0.272415            0.270672         0.000850579
