#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
           1             4250.82             4250.82                   0
           2             4250.82             4250.82                   0
           3             3996.17             4165.94             69.3076
           4             3996.17             4123.49             63.6631
           5             1052.43             3509.28             551.724
           6             1052.43             3099.81             592.548
           7             617.873             2745.24             604.745
           8             617.873             2479.32             584.702
           9             23.2027             2206.42             579.935
          10           -0.324976             1985.75             562.362
          11            -1.04597             1805.13             539.464
          12           -0.974534             1654.62             515.077
          13             2.17374             1527.51             490.889
          14             2.17374             1418.56              467.76
          15           -0.315706             1323.96             446.038
          16           -0.400591             1241.19             425.772
          17           -0.684677             1168.14             406.945
          18           -0.469554             1103.22             389.481
          19           -0.469554             1045.13             373.289
          20          -0.0317893             992.871             358.264
          21            -1.06854              945.54             344.316
          22            -1.06854             902.513             331.343
          23            -1.06854             863.227             319.257
          24            -1.06211             827.214             307.979
          25            -1.06211             794.083             297.436
          26         0.000137413             763.542              287.56
          27           -0.899679             735.229               278.3
          28           -0.638122             708.948             269.599
          29            -0.45301             684.486              261.41
          30            -0.45301             661.655             253.691
          31          -0.0106146             640.311             246.404
          32           -0.807091             620.276             239.517
          33           -0.297456             601.471             232.996
          34           -0.297456             583.771             226.814
          35           -0.297456             567.084             220.947
          36           -0.297456             551.323             215.371
          37           -0.297456             536.415             210.066
          38           -0.402577             522.288             205.012
          39           -0.954565             508.871             200.194
          40           -0.954565             496.126             195.594
          41           -0.557098             484.011             191.198
          42           -0.557098             472.474             186.994
          43           -0.557098             461.473             182.968
          44           -0.557098             450.973             179.111
          45           -0.557098             440.939             175.412
          46           -0.090952             431.351              171.86
          47           -0.090952             422.171             168.449
          48            -1.01898             413.355              165.17
          49            -1.05292             404.898             162.015
          50            -1.05292             396.779             158.978
          51          0.00182326             388.999             156.051
          52           -0.231388             381.514              153.23
          53            -1.07742             374.295             150.509
          54           -0.108314             367.361             147.881
          55           -0.108314              360.68             145.343
          56            -1.04556             354.221             142.891
          57            -1.04556             347.988              140.52
          58           -0.828798             341.974             138.226
          59          -0.0742048             336.177             136.005
          60           -0.569532             330.564             133.854
          61           -0.569532             325.136              131.77
          62           -0.569532             319.882             129.749
          63           -0.569532             314.796             127.789
          64            -1.07142              309.86             125.888
          65            -1.07142             305.077             124.042
          66            -1.07142             300.438             122.249
          67            -1.07142             295.938             120.507
          68            -1.07142              291.57             118.814
          69            -1.07142             287.329             117.168
          70         -0.00665378             283.224             115.566
          71         -0.00665378             279.235             114.007
          72         -0.00665378             275.357              112.49
          73         -0.00665378             271.585             111.012
          74           -0.218214             267.912             109.572
          75            -0.20861             264.337              108.17
          76            -0.20861             260.856             106.802
          77             -1.0473             257.455              105.47
          78           -0.238102             254.151             104.169
          79           -0.238102             250.931               102.9
          80           -0.238102             247.791             101.662
          81          -0.0161757             244.732             100.453
          82          -0.0161757             241.747             99.2722
          83          -0.0161757             238.834             98.1189
          84         -0.00692118             235.991              96.992
          85         -0.00692118             233.214             95.8906
          86           -0.618154             230.495             94.8141
