#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.224494            0.224494                   0
           2             0.38232            0.303407           0.0557999
           3             0.27809            0.294968           0.0378327
           4            0.286652            0.292889           0.0284316
           5            0.293146             0.29294           0.0227453
           6            0.308452            0.295526           0.0191008
           7             0.34838            0.303076           0.0178021
           8             0.23296            0.294312           0.0176026
           9            0.279492            0.292665           0.0157236
          10            0.261768            0.289575           0.0144516
          11            0.383606            0.298124           0.0154607
          12            0.335028            0.301199           0.0144749
          13            0.314248            0.302203           0.0133962
          14            0.262412            0.299361           0.0127373
          15            0.351276            0.302822           0.0123494
          16             0.31173            0.303378           0.0115901
          17            0.348754            0.306048           0.0112115
          18            0.216932            0.301097           0.0116305
          19            0.276926            0.299825           0.0110877
          20            0.374808            0.303574           0.0111492
