#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1             2.53963             2.53963                   0
           2             2.18504             2.36234            0.125367
           3             2.02542             2.25003            0.124072
           4             2.03736             2.19686            0.103823
           5             2.02586             2.16266           0.0885124
