#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1             3.80945             3.80945                   0
           2             3.27756             3.54351            0.188051
           3             3.03812             3.37505            0.186109
           4             3.05604              3.2953            0.155734
           5             3.03879             3.24399            0.132769
