#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.761596           -0.761596                   0
           2           -0.761992           -0.761794         0.000140007
           3           -0.758372           -0.760653         0.000936016
           4           -0.761096           -0.760764         0.000708524
           5           -0.762412           -0.761094           0.0006389
           6           -0.758244           -0.760619         0.000686611
           7           -0.759528           -0.760463         0.000605945
           8           -0.760996            -0.76053         0.000533854
           9           -0.758664           -0.760322         0.000513201
          10           -0.761632           -0.760453         0.000478303
          11           -0.760108           -0.760422         0.000435849
          12           -0.763028           -0.760639           0.0004504
          13           -0.763068           -0.760826         0.000452855
          14           -0.759836           -0.760755         0.000425992
          15           -0.760092           -0.760711          0.00039988
          16           -0.759032           -0.760606         0.000388411
          17           -0.760352           -0.760591         0.000365851
          18           -0.758352           -0.760467         0.000366062
          19           -0.763256           -0.760613         0.000375081
          20           -0.762184           -0.760692         0.000364454
