#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.420433            0.420433                   0
           2            0.423802            0.422117          0.00119111
           3            0.429547            0.424594           0.0021726
           4            0.423172            0.424238          0.00165828
           5            0.416013            0.422593          0.00198114
           6            0.429334            0.423717          0.00194354
           7            0.408373            0.421525          0.00262557
           8            0.415678            0.420794          0.00239692
           9            0.417127            0.420387          0.00216495
          10            0.410939            0.419442          0.00214472
          11            0.417487            0.419264          0.00195709
          12             0.41175            0.418638          0.00189153
          13            0.422649            0.418946          0.00177102
          14            0.425839            0.419439          0.00171157
          15            0.421552             0.41958          0.00160325
          16            0.414353            0.419253          0.00153597
          17            0.411258            0.418783          0.00151591
          18             0.42172            0.418946          0.00144045
          19            0.410254            0.418488          0.00143544
          20            0.419154            0.418522          0.00136406
