#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1              8.0633              8.0633                   0
           2             7.50398             7.78364            0.197749
           3              7.2842             7.61716             0.18936
           4             7.48052               7.583            0.145069
           5             7.09666             7.48573            0.145044
           6             7.08592              7.4191            0.135314
           7             7.13506             7.37852            0.121915
           8             7.26418             7.36423             0.10751
           9             6.99799             7.32354            0.102979
          10              7.4628             7.33746           0.0936176
          11             7.57847             7.35937           0.0876333
          12             7.61034             7.38029           0.0827886
          13             7.99436             7.42752           0.0888802
          14             7.22884             7.41333           0.0836569
          15             7.02838             7.38767           0.0819217
          16             7.41871             7.38961           0.0768245
          17             7.46554             7.39407           0.0724352
          18             7.05453             7.37521           0.0708246
          19             7.36111             7.37447           0.0671009
          20             7.41013             7.37625           0.0637695
