#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.452782            0.452782                   0
           2             0.43617            0.444476          0.00587324
           3            0.443558             0.44417          0.00392346
           4            0.427831            0.440085          0.00460132
           5            0.449063            0.441881          0.00401614
           6            0.437256             0.44111          0.00341994
           7            0.430017            0.439525          0.00327805
           8            0.451744            0.441053           0.0032044
           9            0.452171            0.442288          0.00307729
          10            0.449365            0.442996          0.00284979
          11            0.435291            0.442295          0.00267541
          12            0.435658            0.441742          0.00250898
          13            0.450792            0.442438          0.00241063
          14            0.426577            0.441305          0.00249047
          15            0.455654            0.442262           0.0025014
          16            0.434412            0.441771           0.0023927
          17            0.433442            0.441281          0.00230157
          18            0.437986            0.441098          0.00218097
          19            0.432367            0.440639          0.00211404
          20            0.420657             0.43964          0.00223198
