#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1            -0.85152            -0.85152                   0
           2           -0.847984           -0.849752          0.00125016
           3           -0.848172           -0.849225         0.000937841
           4           -0.846876           -0.848638         0.000868024
           5           -0.850392           -0.848989         0.000762015
           6           -0.850036           -0.849163         0.000654695
           7           -0.844092           -0.848439         0.000874525
           8            -0.84602           -0.848137         0.000815805
           9           -0.853208             -0.8487         0.000898948
          10           -0.845288           -0.848359         0.000871403
          11            -0.84766           -0.848295         0.000794497
          12           -0.845704           -0.848079         0.000757066
          13           -0.846256           -0.847939         0.000711703
          14           -0.846972            -0.84787         0.000664211
          15           -0.850336           -0.848034         0.000639953
          16             -0.8505           -0.848189         0.000618231
          17            -0.84832           -0.848196         0.000581913
          18           -0.850128           -0.848304         0.000559393
          19           -0.845968           -0.848181         0.000543289
          20           -0.850272           -0.848285         0.000526092
