#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             16.3264             16.3264                   0
           2             14.8989             15.6127            0.504701
           3             15.7242             15.6498            0.337833
           4             14.7274             15.4192             0.32262
           5              15.499             15.4352             0.25849
           6             15.9493             15.5209            0.229172
           7             13.4611             15.2266            0.335863
           8             14.7525             15.1674            0.299064
           9             16.3614                15.3            0.293793
          10             15.3358             15.3036            0.264435
          11             15.0457             15.2802            0.241433
          12             14.4632             15.2121            0.230712
          13             15.0551                15.2            0.213281
          14             14.5664             15.1547            0.202792
          15             16.1962             15.2242            0.200806
          16             15.3163             15.2299            0.188338
          17             14.6061             15.1932            0.180799
          18             15.3638             15.2027            0.171003
          19             14.8481             15.1841            0.163018
          20              15.465             15.1981            0.155471
