#   N_BLOCK:  ACCEPTANCE:
           1            0.148853
           2            0.150382
           3            0.151093
           4            0.151551
           5            0.151231
           6            0.150975
           7            0.151597
           8            0.151903
           9            0.151356
          10            0.151648
          11            0.151662
          12            0.151852
          13            0.151968
          14             0.15205
          15            0.151878
          16            0.151769
          17            0.151807
          18            0.151689
          19            0.151807
          20            0.151699
