#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.763586            0.763586                   0
           2            0.561974             0.66278           0.0712806
           3            0.741356            0.688972           0.0521108
           4             0.69902            0.691484           0.0391436
           5            0.661444            0.685476           0.0317726
           6            0.691088            0.686411           0.0264909
           7            0.678044            0.685216           0.0227335
           8            0.548352            0.668108             0.02553
           9            0.751134            0.677333            0.024303
          10            0.691272            0.678727           0.0219126
          11            0.681324            0.678963           0.0199218
          12            0.626128             0.67456           0.0187419
          13            0.706218            0.676995           0.0174577
          14            0.652362            0.675236           0.0162992
          15              0.6528             0.67374            0.015281
          16            0.560146             0.66664           0.0158899
          17            0.648532            0.665575           0.0149908
          18            0.835788            0.675032            0.016879
          19            0.699486            0.676319           0.0160397
          20            0.800128            0.682509           0.0163888
