#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.230664            0.230664                   0
           2            0.228169            0.229417         0.000882081
           3            0.229673            0.229502         0.000592184
           4            0.229592            0.229525         0.000444561
           5            0.230289            0.229678         0.000381044
           6            0.231763            0.230025         0.000448915
           7            0.227995            0.229735         0.000469214
           8            0.228702            0.229606          0.00042796
           9            0.230468            0.229702         0.000390968
          10            0.229693            0.229701         0.000351872
          11            0.227326            0.229485          0.00038038
          12            0.230735            0.229589         0.000362652
          13            0.228327            0.229492         0.000347519
          14            0.228452            0.229418         0.000330547
          15            0.225598            0.229163         0.000394578
          16            0.226688            0.229008         0.000399088
          17            0.224403            0.228738         0.000458436
          18            0.233403            0.228997         0.000500914
          19            0.229324            0.229014         0.000474847
          20            0.233104            0.229218         0.000493172
