#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             1.69322             1.69322                   0
           2             1.74291             1.71807           0.0175677
           3             1.63343             1.68985           0.0258429
           4             1.72926             1.69971           0.0211767
           5             1.69483             1.69873           0.0169639
           6             1.70491             1.69976           0.0141678
           7             1.69328             1.69883            0.012174
           8             1.67466             1.69581            0.011021
           9             1.68779             1.69492          0.00983245
          10             1.62258             1.68769           0.0111988
          11             1.64622             1.68392           0.0107964
          12             1.67741             1.68337          0.00991032
          13             1.68464             1.68347          0.00914847
          14             1.73135             1.68689          0.00911191
          15             1.76557             1.69214           0.0098998
          16             1.71151             1.69335          0.00935482
          17             1.61461             1.68872          0.00988487
          18             1.69662             1.68916          0.00934545
          19             1.75049             1.69238          0.00939465
          20             1.70499             1.69301          0.00894605
