#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.505276           -0.505276                   0
           2           -0.504184            -0.50473          0.00038608
           3           -0.504704           -0.504721         0.000257484
           4            -0.50546           -0.504906         0.000250737
           5           -0.505364           -0.504998         0.000216676
           6           -0.502328           -0.504553         0.000444494
           7           -0.505076           -0.504627         0.000387231
           8           -0.504876           -0.504659         0.000340071
           9           -0.502672           -0.504438          0.00036699
          10           -0.506564            -0.50465         0.000387014
          11           -0.504056           -0.504596         0.000355583
          12           -0.504956           -0.504626         0.000327212
          13           -0.503704           -0.504555         0.000309638
          14           -0.504216           -0.504531         0.000288468
          15           -0.504828           -0.504551         0.000269915
          16           -0.503716           -0.504499          0.00025804
          17           -0.505136           -0.504536         0.000245569
          18           -0.505272           -0.504577         0.000235304
          19            -0.50586           -0.504645         0.000232405
          20           -0.504596           -0.504642         0.000220798
