#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
         152            -5.08879            -5.32435           0.0140312
         153             -5.0518            -5.32257           0.0140521
         154            -4.93746            -5.32007           0.0141816
         155            -5.01075            -5.31808           0.0142298
         156            -5.10137            -5.31669           0.0142062
         157            -5.20931              -5.316           0.0141322
         158            -5.20909            -5.31533            0.014059
         159            -5.25296            -5.31494            0.013976
         160            -5.20602            -5.31425           0.0139052
         161            -5.18425            -5.31345           0.0138423
         162            -5.23663            -5.31297            0.013765
         163            -5.20212            -5.31229           0.0136973
         164            -5.21877            -5.31172           0.0136256
         165            -5.19287              -5.311           0.0135621
         166            -5.23569            -5.31055            0.013488
         167            -5.24558            -5.31016           0.0134128
         168            -5.24481            -5.30977           0.0133386
         169            -5.10115            -5.30854           0.0133167
         170            -5.06119            -5.30708           0.0133176
         171            -5.15652             -5.3062           0.0132688
         172             -5.1526            -5.30531           0.0132217
         173            -5.07838              -5.304           0.0132102
         174            -5.05841            -5.30258           0.0132094
         175            -5.03415            -5.30105           0.0132227
         176            -5.11384            -5.29999           0.0131903
         177            -5.13124            -5.29903           0.0131502
         178            -5.13449            -5.29811           0.0131087
         179            -4.95828            -5.29621           0.0131723
         180            -4.94477            -5.29426            0.013243
         181            -4.96079            -5.29242           0.0132974
         182            -5.01312            -5.29088           0.0133126
         183            -5.06459            -5.28964           0.0132971
         184            -5.19279            -5.28912           0.0132353
         185            -5.23973            -5.28885           0.0131664
         186             -5.1014            -5.28784           0.0131342
         187            -5.05865            -5.28662            0.013121
         188            -5.10931            -5.28567            0.013085
         189            -5.09433            -5.28466           0.0130549
         190             -5.0363            -5.28336           0.0130515
         191            -5.06979            -5.28224            0.013031
         192            -5.04862            -5.28102           0.0130198
         193            -5.16409            -5.28041           0.0129664
         194            -5.06244            -5.27929           0.0129481
         195            -5.02691              -5.278           0.0129463
         196            -5.07419            -5.27696           0.0129219
         197             -4.9881            -5.27549           0.0129392
         198            -5.01897            -5.27419           0.0129386
         199             -5.0581            -5.27311           0.0129191
         200            -5.04257            -5.27196           0.0129058
         201            -5.05466            -5.27088           0.0128868
         202            -5.01199            -5.26959           0.0128866
         203             -5.0734            -5.26863           0.0128593
         204            -4.91812            -5.26691           0.0129105
         205            -5.00428            -5.26563           0.0129109
         206            -4.94993             -5.2641           0.0129389
         207            -4.96369            -5.26264           0.0129575
         208            -4.97952            -5.26128           0.0129665
         209            -4.91614            -5.25963           0.0130092
         210            -4.87285            -5.25779            0.013077
         211             -4.8787            -5.25599           0.0131379
         212            -4.88578            -5.25425           0.0131914
         213            -4.88483            -5.25251            0.013243
         214            -4.92705            -5.25099           0.0132682
         215            -5.01824            -5.24991           0.0132506
         216            -5.09947            -5.24921           0.0132075
         217            -5.12183            -5.24863           0.0131597
         218            -5.18266            -5.24832           0.0131028
         219             -5.1535            -5.24789           0.0130501
         220            -5.17083            -5.24754           0.0129955
         221            -5.12996            -5.24701           0.0129476
         222             -5.0657            -5.24619            0.012915
         223            -5.03524            -5.24524           0.0128917
         224            -5.02357            -5.24426           0.0128721
         225            -5.07623            -5.24351           0.0128365
         226            -5.03119            -5.24257            0.012814
         227            -4.99714            -5.24149           0.0128031
         228             -4.8841            -5.23992           0.0128425
         229            -4.82737            -5.23812           0.0129122
         230            -4.80429            -5.23623           0.0129931
         231            -4.87574            -5.23467           0.0130302
         232            -4.90521            -5.23325           0.0130512
         233            -4.98684            -5.23219            0.013038
         234            -5.02625            -5.23131           0.0130119
         235            -5.05481            -5.23056           0.0129782
         236            -4.99407            -5.22956           0.0129619
         237            -5.02285            -5.22869           0.0129365
         238            -5.05543            -5.22796           0.0129026
         239            -5.01105            -5.22705           0.0128805
         240            -5.01658            -5.22618           0.0128566
         241             -5.0208            -5.22532           0.0128315
         242            -4.98323            -5.22432           0.0128174
         243            -5.03431            -5.22354           0.0127885
         244             -5.0296            -5.22275           0.0127608
         245            -4.97965            -5.22175           0.0127472
         246            -4.98437            -5.22079           0.0127319
         247            -5.11593            -5.22037           0.0126874
         248            -5.10802            -5.21991           0.0126443
         249            -5.06171            -5.21928           0.0126095
         250             -5.0155            -5.21846           0.0125854
         251            -5.00614            -5.21762           0.0125636
         252            -4.86671            -5.21622           0.0125907
         253            -4.94487            -5.21515           0.0125865
         254            -4.97794            -5.21422           0.0125716
         255             -5.0891            -5.21373           0.0125319
         256            -5.07125            -5.21317           0.0124953
         257            -5.04115             -5.2125           0.0124645
         258            -5.01424            -5.21173           0.0124399
         259            -5.05734            -5.21114           0.0124061
         260            -5.09373            -5.21068           0.0123666
         261            -5.05097            -5.21007           0.0123344
         262            -5.07571            -5.20956            0.012298
         263            -5.19484             -5.2095           0.0122513
         264            -5.15714            -5.20931           0.0122065
         265            -5.13838            -5.20904           0.0121634
         266             -5.0057            -5.20827           0.0121417
         267            -5.04793            -5.20767            0.012111
