#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
         153             1.42708             1.42568         5.02074e-05
         154             1.42711             1.42569         5.07335e-05
         155             1.42714              1.4257         5.12619e-05
         156             1.42717             1.42571         5.17928e-05
         157              1.4272             1.42572          5.2326e-05
         158             1.42723             1.42573         5.28617e-05
         159             1.42726             1.42574         5.33998e-05
         160             1.42729             1.42575         5.39403e-05
         161             1.42732             1.42576         5.44833e-05
         162             1.42735             1.42577         5.50287e-05
         163             1.42738             1.42578         5.55765e-05
         164             1.42742             1.42579         5.61268e-05
         165             1.42745              1.4258         5.66795e-05
         166             1.42748             1.42581         5.72346e-05
         167             1.42751             1.42582         5.77922e-05
         168             1.42754             1.42583         5.83522e-05
         169             1.42758             1.42584         5.89146e-05
         170             1.42761             1.42585         5.94795e-05
         171             1.42764             1.42586         6.00468e-05
         172             1.42767             1.42587         6.06166e-05
         173             1.42771             1.42588         6.11888e-05
         174             1.42774             1.42589         6.17635e-05
         175             1.42778              1.4259         6.23406e-05
         176             1.42781             1.42591         6.29202e-05
         177             1.42784             1.42593         6.35022e-05
         178             1.42788             1.42594         6.40867e-05
         179             1.42791             1.42595         6.46737e-05
         180             1.42795             1.42596         6.52632e-05
         181             1.42798             1.42597         6.58552e-05
         182             1.42802             1.42598         6.64496e-05
         183             1.42806             1.42599         6.70466e-05
         184             1.42809               1.426         6.76461e-05
         185             1.42813             1.42602         6.82481e-05
         186             1.42816             1.42603         6.88526e-05
         187              1.4282             1.42604         6.94596e-05
         188             1.42824             1.42605         7.00692e-05
         189             1.42828             1.42606         7.06813e-05
         190             1.42831             1.42607          7.1296e-05
         191             1.42835             1.42609         7.19131e-05
         192             1.42839              1.4261         7.25329e-05
         193             1.42843             1.42611         7.31551e-05
         194             1.42847             1.42612           7.378e-05
         195             1.42851             1.42613         7.44074e-05
         196             1.42854             1.42615         7.50374e-05
         197             1.42858             1.42616           7.567e-05
         198             1.42862             1.42617         7.63052e-05
         199             1.42866             1.42618          7.6943e-05
         200              1.4287              1.4262         7.75833e-05
         201             1.42874             1.42621         7.82263e-05
         202             1.42879             1.42622         7.88719e-05
         203             1.42883             1.42623         7.95201e-05
         204             1.42887             1.42625          8.0171e-05
         205             1.42891             1.42626         8.08245e-05
         206             1.42895             1.42627         8.14806e-05
         207             1.42899             1.42629         8.21393e-05
         208             1.42904              1.4263         8.28007e-05
         209             1.42908             1.42631         8.34647e-05
         210             1.42912             1.42633         8.41315e-05
         211             1.42916             1.42634         8.48008e-05
         212             1.42921             1.42635         8.54729e-05
         213             1.42925             1.42637         8.61476e-05
         214              1.4293             1.42638         8.68251e-05
         215             1.42934             1.42639         8.75052e-05
         216             1.42938             1.42641         8.81881e-05
         217             1.42943             1.42642         8.88736e-05
         218             1.42947             1.42644          8.9562e-05
         219             1.42952             1.42645         9.02531e-05
         220             1.42957             1.42646         9.09469e-05
         221             1.42961             1.42648         9.16435e-05
         222             1.42966             1.42649         9.23429e-05
         223              1.4297             1.42651         9.30451e-05
         224             1.42975             1.42652           9.375e-05
         225              1.4298             1.42654         9.44578e-05
         226             1.42985             1.42655         9.51684e-05
         227             1.42989             1.42657         9.58818e-05
         228             1.42994             1.42658         9.65981e-05
         229             1.42999              1.4266         9.73172e-05
         230             1.43004             1.42661         9.80392e-05
         231             1.43009             1.42663          9.8764e-05
         232             1.43014             1.42664         9.94917e-05
         233             1.43019             1.42666         0.000100222
         234             1.43024             1.42667         0.000100956
         235             1.43029             1.42669         0.000101692
         236             1.43034              1.4267         0.000102431
         237             1.43039             1.42672         0.000103174
         238             1.43044             1.42673         0.000103919
         239             1.43049             1.42675         0.000104667
         240             1.43054             1.42676         0.000105418
         241              1.4306             1.42678         0.000106172
         242             1.43065              1.4268         0.000106929
         243              1.4307             1.42681         0.000107689
         244             1.43075             1.42683         0.000108452
         245             1.43081             1.42685         0.000109218
         246             1.43086             1.42686         0.000109987
         247             1.43091             1.42688         0.000110759
         248             1.43097             1.42689         0.000111535
         249             1.43102             1.42691         0.000112313
         250             1.43108             1.42693         0.000113095
         251             1.43113             1.42694         0.000113879
