#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
         152            0.951371            0.950449         3.31225e-05
         153             0.95139            0.950455         3.34716e-05
         154            0.951409            0.950462         3.38223e-05
         155            0.951429            0.950468         3.41746e-05
         156            0.951448            0.950474         3.45285e-05
         157            0.951468             0.95048          3.4884e-05
         158            0.951488            0.950487         3.52411e-05
         159            0.951508            0.950493         3.55999e-05
         160            0.951528              0.9505         3.59602e-05
         161            0.951549            0.950506         3.63222e-05
         162            0.951569            0.950513         3.66858e-05
         163             0.95159            0.950519          3.7051e-05
         164            0.951611            0.950526         3.74179e-05
         165            0.951632            0.950533         3.77863e-05
         166            0.951653            0.950539         3.81564e-05
         167            0.951674            0.950546         3.85281e-05
         168            0.951696            0.950553         3.89015e-05
         169            0.951717             0.95056         3.92764e-05
         170            0.951739            0.950567          3.9653e-05
         171            0.951761            0.950574         4.00312e-05
         172            0.951783            0.950581         4.04111e-05
         173            0.951805            0.950588         4.07925e-05
         174            0.951828            0.950595         4.11756e-05
         175             0.95185            0.950602         4.15604e-05
         176            0.951873             0.95061         4.19468e-05
         177            0.951896            0.950617         4.23348e-05
         178            0.951919            0.950624         4.27245e-05
         179            0.951942            0.950632         4.31158e-05
         180            0.951966            0.950639         4.35088e-05
         181            0.951989            0.950646         4.39034e-05
         182            0.952013            0.950654         4.42997e-05
         183            0.952037            0.950661         4.46977e-05
         184            0.952061            0.950669         4.50974e-05
         185            0.952085            0.950677         4.54987e-05
         186             0.95211            0.950684         4.59017e-05
         187            0.952134            0.950692         4.63064e-05
         188            0.952159              0.9507         4.67128e-05
         189            0.952184            0.950708         4.71209e-05
         190            0.952209            0.950716         4.75306e-05
         191            0.952234            0.950724         4.79421e-05
         192             0.95226            0.950732         4.83552e-05
         193            0.952285             0.95074         4.87701e-05
         194            0.952311            0.950748         4.91867e-05
         195            0.952337            0.950756         4.96049e-05
         196            0.952363            0.950764         5.00249e-05
         197            0.952389            0.950772         5.04467e-05
         198            0.952416            0.950781         5.08701e-05
         199            0.952442            0.950789         5.12953e-05
         200            0.952469            0.950797         5.17222e-05
         201            0.952496            0.950806         5.21509e-05
         202            0.952523            0.950814         5.25813e-05
         203            0.952551            0.950823         5.30134e-05
         204            0.952578            0.950832         5.34473e-05
         205            0.952606             0.95084          5.3883e-05
         206            0.952634            0.950849         5.43204e-05
         207            0.952662            0.950858         5.47595e-05
         208             0.95269            0.950867         5.52005e-05
         209            0.952719            0.950875         5.56432e-05
         210            0.952747            0.950884         5.60876e-05
         211            0.952776            0.950893         5.65339e-05
         212            0.952805            0.950902         5.69819e-05
         213            0.952834            0.950911         5.74317e-05
         214            0.952864             0.95092         5.78834e-05
         215            0.952893             0.95093         5.83368e-05
         216            0.952923            0.950939          5.8792e-05
         217            0.952953            0.950948         5.92491e-05
         218            0.952983            0.950957          5.9708e-05
         219            0.953013            0.950967         6.01687e-05
         220            0.953044            0.950976         6.06313e-05
         221            0.953074            0.950986         6.10957e-05
         222            0.953105            0.950995         6.15619e-05
         223            0.953136            0.951005           6.203e-05
         224            0.953168            0.951015            6.25e-05
         225            0.953199            0.951024         6.29719e-05
         226            0.953231            0.951034         6.34456e-05
         227            0.953263            0.951044         6.39212e-05
         228            0.953295            0.951054         6.43987e-05
         229            0.953327            0.951064         6.48781e-05
         230             0.95336            0.951074         6.53594e-05
         231            0.953392            0.951084         6.58427e-05
         232            0.953425            0.951094         6.63278e-05
         233            0.953458            0.951104         6.68148e-05
         234            0.953491            0.951114         6.73038e-05
         235            0.953525            0.951124         6.77947e-05
         236            0.953559            0.951135         6.82876e-05
         237            0.953593            0.951145         6.87824e-05
         238            0.953627            0.951156         6.92791e-05
         239            0.953661            0.951166         6.97779e-05
         240            0.953695            0.951177         7.02786e-05
         241             0.95373            0.951187         7.07813e-05
         242            0.953765            0.951198          7.1286e-05
         243              0.9538            0.951209         7.17927e-05
         244            0.953836            0.951219         7.23014e-05
         245            0.953871             0.95123         7.28121e-05
         246            0.953907            0.951241         7.33249e-05
         247            0.953943            0.951252         7.38397e-05
         248             0.95398            0.951263         7.43565e-05
         249            0.954016            0.951274         7.48754e-05
         250            0.954053            0.951285         7.53963e-05
         251             0.95409            0.951296         7.59194e-05
         252            0.954127            0.951308         7.64444e-05
         253            0.954164            0.951319         7.69716e-05
         254            0.954202             0.95133         7.75009e-05
         255            0.954239            0.951342         7.80322e-05
         256            0.954278            0.951353         7.85656e-05
         257            0.954316            0.951365         7.91012e-05
         258            0.954354            0.951376         7.96389e-05
         259            0.954393            0.951388         8.01787e-05
         260            0.954432              0.9514         8.07206e-05
         261            0.954471            0.951411         8.12647e-05
         262            0.954511            0.951423         8.18109e-05
         263             0.95455            0.951435         8.23593e-05
         264             0.95459            0.951447         8.29099e-05
         265             0.95463            0.951459         8.34627e-05
         266             0.95467            0.951471         8.40176e-05
         267            0.954711            0.951483         8.45747e-05
         268            0.954752            0.951495         8.51341e-05
         269            0.954793            0.951508         8.56956e-05
         270            0.954834             0.95152         8.62594e-05
         271            0.954876            0.951532         8.68254e-05
         272            0.954918            0.951545         8.73937e-05
         273             0.95496            0.951557         8.79642e-05
         274            0.955002             0.95157         8.85369e-05
         275            0.955044            0.951582          8.9112e-05
         276            0.955087            0.951595         8.96893e-05
