# RW_STEP = 78
# BLOCK:          PROG_MEAN:              ERROR:
       0             8.98666                   0
       1             8.81768            0.168979
       2             8.88289             0.11735
       3             8.63131            0.264917
       4              8.6557            0.206649
       5             8.71715             0.17957
       6             8.73077            0.152375
       7             8.71921            0.132466
       8             8.78404            0.133607
       9             8.77432            0.119897
      10             8.76237            0.109107
      11             8.73957            0.102176
      12             8.75738             0.09566
      13             8.77105           0.0896126
      14              8.8085           0.0914433
      15             8.84093           0.0914788
      16             8.83469            0.086155
      17             8.83648           0.0812473
      18             8.84823           0.0777459
      19             8.84843           0.0737565
      20             8.83085           0.0723239
      21             8.84758           0.0709585
      22             8.83152           0.0696792
      23             8.84958           0.0691144
      24             8.85799           0.0668233
      25             8.87464           0.0663253
      26             8.86802           0.0641637
      27             8.87468           0.0621865
      28             8.88095           0.0603304
      29              8.8747           0.0586181
      30             8.87785           0.0567828
      31             8.86731           0.0559813
      32             8.88598           0.0573832
      33             8.87798           0.0562419
      34             8.88659           0.0552859
      35             8.88149           0.0539701
      36             8.87981            0.052518
      37             8.88109           0.0511334
      38             8.87284           0.0504843
      39              8.8645           0.0499074
      40             8.87616            0.050051
      41             8.86936           0.0493154
      42             8.87172           0.0482129
      43             8.86144            0.048215
      44             8.86501           0.0472665
      45             8.86919           0.0464168
      46             8.86989           0.0454237
      47             8.87109           0.0444835
      48             8.87482           0.0437264
      49             8.88465           0.0439542
      50             8.88942           0.0433472
      51             8.89176           0.0425697
      52             8.88528           0.0422575
      53             8.87634           0.0424209
      54             8.87045           0.0420575
      55             8.86937           0.0413136
      56             8.86687           0.0406592
      57             8.88333           0.0432089
      58             8.87278           0.0437615
      59             8.87758           0.0432929
      60             8.88358           0.0429975
      61              8.8852           0.0423296
      62             8.88614           0.0416628
      63             8.87377           0.0428319
      64             8.87672           0.0422706
      65             8.87897           0.0416862
      66             8.87953           0.0410631
      67             8.88292            0.040597
      68             8.88128           0.0400382
      69             8.87976           0.0394913
      70             8.87989           0.0389314
      71             8.89321           0.0406311
      72             8.88762           0.0404584
      73             8.88998           0.0399774
      74             8.89149           0.0394697
      75              8.8971           0.0393487
      76             8.90106           0.0390359
      77             8.90692           0.0389758
      78             8.90511            0.038522
      79             8.90271            0.038113
      80             8.90738           0.0379284
      81             8.90831           0.0374744
      82             8.90983           0.0370513
      83              8.9072           0.0367018
      84             8.90656            0.036273
      85             8.90793           0.0358749
      86             8.90398             0.03568
      87             8.90752           0.0354491
      88             8.90388           0.0352369
      89             8.90378           0.0348433
      90             8.90519           0.0344871
      91             8.90235           0.0342281
      92             8.90864           0.0344364
      93             8.90804           0.0340734
      94              8.9074           0.0337188
      95             8.90876           0.0333933
      96             8.91014           0.0330763
      97             8.90561           0.0330487
      98             8.90664           0.0327291
      99             8.90843           0.0324499
