# RW_STEP = 18
# BLOCK:          PROG_MEAN:              ERROR:
       0             4.46542                   0
       1             4.37864            0.086785
       2             4.38803           0.0509779
       3             4.42239           0.0498018
       4             4.40694           0.0415575
       5              4.4178           0.0356291
       6             4.42268            0.030505
       7             4.40341           0.0327019
       8             4.40454           0.0288627
       9             4.39837           0.0265434
      10             4.38378           0.0280928
      11             4.39907           0.0298577
      12             4.40019           0.0274878
      13             4.38978           0.0274968
      14             4.39437           0.0260072
      15             4.39979           0.0249237
      16             4.37361           0.0351208
      17             4.36647           0.0338744
      18             4.36811           0.0320841
      19             4.37697           0.0317012
      20             4.37753           0.0301589
      21             4.38224            0.029138
      22              4.3837           0.0278808
      23             4.37733           0.0274431
      24             4.37632            0.026342
      25             4.36788           0.0266782
      26             4.36324           0.0260868
      27             4.36673           0.0253789
      28             4.36543           0.0245227
      29             4.36958           0.0240523
      30             4.36685           0.0234235
      31             4.36089           0.0234497
      32             4.37324           0.0258698
      33             4.36815           0.0256094
      34              4.3659           0.0249682
      35             4.36748           0.0243159
      36             4.36823           0.0236617
      37             4.36598           0.0231407
      38             4.36117           0.0230464
      39             4.36237           0.0224948
      40             4.36223           0.0219397
      41             4.36871           0.0223719
      42             4.37639            0.023156
      43             4.38063           0.0230172
      44             4.37892           0.0225651
      45             4.38114           0.0221806
      46             4.38008           0.0217294
      47             4.38398           0.0216264
      48             4.38468            0.021192
      49             4.38802           0.0210315
      50             4.38604           0.0207096
      51             4.38351           0.0204646
      52             4.38296           0.0200823
      53             4.38457           0.0197726
      54             4.38238           0.0195335
      55             4.38715           0.0197668
      56             4.38864            0.019474
      57              4.3913           0.0193198
      58             4.38639           0.0196157
      59             4.37924           0.0205694
      60             4.37575           0.0205277
      61             4.37694           0.0202291
      62             4.38107           0.0203283
      63              4.3858           0.0205605
      64             4.38785            0.020345
      65             4.39195           0.0204492
      66             4.39311           0.0201752
      67             4.38867           0.0203653
      68             4.38761           0.0200963
      69             4.39385           0.0207691
      70             4.39238           0.0205272
      71             4.39374           0.0202854
      72             4.39651           0.0201959
      73             4.39446            0.020026
      74             4.39164           0.0199568
      75             4.39282           0.0197276
      76             4.39253           0.0194719
      77             4.39435           0.0193064
      78             4.38923           0.0197357
      79             4.39021           0.0195121
      80             4.38768           0.0194344
      81             4.38614           0.0192576
      82             4.38122           0.0196511
      83              4.3868            0.020201
      84             4.38946           0.0201386
      85             4.38516           0.0203616
      86             4.38248           0.0203036
      87             4.38727           0.0206357
      88             4.38583           0.0204532
      89             4.38395           0.0203119
      90             4.38271           0.0201259
      91             4.38101           0.0199786
      92              4.3801           0.0197835
      93             4.37859           0.0196302
      94             4.37919            0.019432
      95             4.37929           0.0192287
      96             4.37844           0.0190486
      97             4.38257           0.0193005
      98             4.38529           0.0192973
      99             4.38798           0.0192914
