# RW_STEP = 98
# BLOCK:          PROG_MEAN:              ERROR:
       0             10.1627                   0
       1             9.99916            0.163514
       2             10.0912            0.131831
       3             9.80473            0.301234
       4             9.75376            0.238837
       5             9.77383             0.19604
       6             9.78397            0.165994
       7             9.81895            0.147949
       8             9.83751            0.131793
       9             9.82113            0.119012
      10             9.81883            0.107675
      11             9.78641            0.103503
      12             9.81996            0.100946
      13              9.8148           0.0936001
      14             9.87316            0.104874
      15             9.89945             0.10156
      16             9.88956           0.0959103
      17              9.8843           0.0905779
      18             9.89552           0.0864099
      19             9.89329            0.082006
      20             9.89785           0.0781363
      21             9.91203           0.0758374
      22             9.89719           0.0739684
      23             9.89475           0.0708613
      24             9.90072           0.0682291
      25             9.91736           0.0676321
      26              9.9164           0.0650861
      27              9.9181           0.0627415
      28             9.92412           0.0608376
      29             9.92222           0.0588054
      30             9.92585            0.056993
      31             9.91446           0.0563463
      32             9.92993            0.056761
      33             9.91322           0.0575472
      34              9.9237           0.0568534
      35             9.91488           0.0559508
      36             9.91796           0.0545049
      37             9.92624           0.0536922
      38             9.91446           0.0536079
      39             9.91549           0.0522608
      40              9.9305           0.0531344
      41             9.92049           0.0528116
      42             9.91899           0.0515906
      43             9.91445           0.0506089
      44             9.92031            0.049818
      45             9.91725           0.0488189
      46             9.91549           0.0478013
      47             9.91738           0.0468328
      48             9.92506           0.0465055
      49             9.94049           0.0481087
      50              9.9493           0.0479705
      51             9.94658           0.0471171
      52             9.94038           0.0466343
      53             9.94211           0.0457953
      54             9.94705           0.0452254
      55             9.94758           0.0444137
      56             9.94894           0.0436487
      57             9.95848           0.0439382
      58              9.9524           0.0436123
      59             9.96135           0.0438022
      60             9.95626           0.0433777
      61             9.95884           0.0427503
      62             9.95472           0.0422672
      63             9.93866           0.0445968
      64             9.94568           0.0444636
      65             9.94833           0.0438646
      66              9.9432           0.0435074
      67             9.94517           0.0429077
      68             9.94471           0.0422837
      69             9.94527           0.0416791
      70             9.95331            0.041866
      71             9.96217           0.0422214
      72             9.95766            0.041882
      73             9.95588           0.0413508
      74             9.95941           0.0409481
      75             9.95945           0.0404057
      76             9.96086           0.0399023
      77              9.9647           0.0395744
      78             9.96141           0.0392087
      79              9.9625           0.0387309
      80             9.96976           0.0389311
      81             9.96754           0.0385174
      82             9.96856           0.0380644
      83             9.96487           0.0377896
      84             9.96412           0.0373499
      85             9.96783           0.0370988
      86              9.9607           0.0373561
      87             9.96514           0.0371944
      88             9.96212           0.0368978
      89             9.96337            0.036507
      90             9.96038           0.0362272
      91             9.96011           0.0358323
      92             9.96589            0.035913
      93              9.9653           0.0355338
      94              9.9676           0.0352326
      95             9.96774           0.0348639
      96             9.97209           0.0347767
      97             9.96667            0.034845
      98             9.96719           0.0344952
      99             9.96726           0.0341486
