# RW_STEP = 50
# BLOCK:          PROG_MEAN:              ERROR:
       0             6.94262                   0
       1             7.09898             0.15636
       2             7.14005           0.0991774
       3             7.02387            0.135706
       4             7.00618            0.106595
       5             6.99559           0.0876771
       6             7.04113           0.0869761
       7             7.07835           0.0840204
       8             7.07361            0.074251
       9             7.07307           0.0664143
      10             7.07494           0.0601031
      11             7.05227           0.0593641
      12             7.06332           0.0557124
      13             7.07239           0.0523708
      14             7.09683           0.0545403
      15             7.08998           0.0514764
      16             7.08795           0.0483962
      17             7.07747           0.0468169
      18             7.08762           0.0454346
      19             7.09766           0.0442561
      20             7.09874           0.0421098
      21             7.11034           0.0417919
      22             7.11448           0.0401475
      23             7.11874           0.0386733
      24             7.12054           0.0371379
      25             7.12026            0.035682
      26             7.11063           0.0356622
      27             7.11584           0.0347588
      28             7.11219           0.0337368
      29             7.11433            0.032663
      30             7.11772           0.0317731
      31             7.10604           0.0329076
      32             7.12272           0.0359916
      33             7.11856           0.0351634
      34             7.11857            0.034144
      35             7.11472           0.0334046
      36              7.1199           0.0328987
      37             7.11824           0.0320641
      38             7.10623           0.0334611
      39              7.1094           0.0327681
      40             7.11158           0.0320328
      41             7.12138           0.0327618
      42             7.13042           0.0332429
      43             7.12454           0.0330066
      44             7.12285           0.0323091
      45             7.12677           0.0318419
      46             7.13213           0.0316134
      47             7.13964           0.0318463
      48             7.14039           0.0311986
      49             7.14765           0.0314183
      50             7.14172            0.031361
      51             7.14329           0.0307923
      52             7.14097           0.0302952
      53             7.13719           0.0299682
      54             7.13701           0.0294188
      55             7.14478           0.0299162
      56              7.1449           0.0293869
      57             7.15392           0.0302521
      58             7.14425           0.0312682
      59             7.13631           0.0317515
      60             7.13472           0.0312666
      61             7.13822           0.0309557
      62             7.14316           0.0308594
      63             7.13992           0.0305463
      64              7.1454           0.0305695
      65             7.14871           0.0302834
      66             7.14721           0.0298656
      67             7.14452           0.0295459
      68             7.14629           0.0291681
      69             7.14602           0.0287496
      70             7.14783           0.0283996
      71             7.15095           0.0281764
      72             7.14641           0.0281571
      73             7.14489           0.0278154
      74             7.14761           0.0275759
      75             7.14873            0.027234
      76             7.15134           0.0270046
      77              7.1542           0.0268089
      78             7.15331           0.0264824
      79             7.15024           0.0263285
      80             7.14923           0.0260211
      81             7.14595           0.0259101
      82             7.14696           0.0256156
      83              7.1443           0.0254478
      84              7.1458           0.0251913
      85             7.14656           0.0249083
      86             7.14939            0.024783
      87             7.15289           0.0247472
      88             7.15166            0.024498
      89             7.14858           0.0244191
      90             7.15123           0.0242936
      91             7.14822           0.0242155
      92             7.15089           0.0241013
      93             7.14927           0.0238986
      94              7.1514           0.0237423
      95             7.15115            0.023495
      96             7.15263            0.023298
      97             7.15152           0.0230856
      98             7.15161           0.0228514
      99             7.15445           0.0227986
