# RW_STEP = 90
# BLOCK:          PROG_MEAN:              ERROR:
       0             9.61977                   0
       1              9.4784            0.141374
       2             9.63355            0.175309
       3             9.34677            0.312417
       4              9.3693            0.243043
       5             9.38818            0.199341
       6             9.41128             0.17005
       7             9.43864            0.149787
       8             9.45888            0.133642
       9             9.43321            0.122258
      10             9.41586             0.11194
      11             9.41107            0.102299
      12             9.42976           0.0959393
      13             9.43474            0.088962
      14             9.49497            0.102408
      15             9.52196           0.0995221
      16             9.51616           0.0936645
      17             9.51371           0.0883417
      18              9.5212           0.0838982
      19             9.51605           0.0797597
      20             9.51067           0.0760567
      21             9.53346           0.0760132
      22             9.51844           0.0741696
      23             9.52491           0.0713059
      24             9.53709           0.0694713
      25             9.55378           0.0688002
      26             9.54647           0.0666059
      27             9.53772            0.064776
      28              9.5385           0.0625073
      29             9.52956           0.0610456
      30             9.53381           0.0591962
      31             9.51737           0.0596272
      32             9.53066           0.0593002
      33             9.51292           0.0602029
      34             9.51978           0.0588584
      35             9.50926           0.0581592
      36             9.50985           0.0565685
      37             9.51416           0.0552283
      38             9.50493           0.0545795
      39             9.50151           0.0533075
      40             9.51159           0.0529584
      41             9.50648           0.0519333
      42             9.50649           0.0507112
      43             9.50078           0.0498732
      44             9.50524            0.048956
      45             9.50671           0.0479025
      46             9.50785           0.0468861
      47             9.50945           0.0459266
      48             9.51328           0.0451428
      49              9.5293           0.0470411
      50             9.53581            0.046566
      51             9.53754           0.0456947
      52             9.53329           0.0450251
      53             9.53179           0.0442091
      54             9.53603           0.0436049
      55             9.53409           0.0428629
      56             9.53371            0.042106
      57             9.54889           0.0440721
      58             9.53794           0.0446814
      59             9.54571           0.0446118
      60             9.54626           0.0438778
      61              9.5503           0.0433532
      62             9.55097           0.0426649
      63             9.53561           0.0447169
      64             9.53989           0.0442318
      65              9.5436           0.0437141
      66               9.542           0.0430866
      67             9.54636           0.0426719
      68             9.54421            0.042104
      69             9.54638            0.041555
      70             9.54923           0.0410647
      71             9.56176           0.0423825
      72             9.55945           0.0418613
      73             9.55888           0.0412956
      74             9.56388           0.0410468
      75             9.56661            0.040595
      76             9.56686           0.0400651
      77             9.57281           0.0399932
      78             9.56861           0.0397062
      79             9.56879           0.0392071
      80             9.57283           0.0389295
      81             9.57068           0.0385117
      82             9.57454           0.0382406
      83              9.5721           0.0378617
      84             9.57119           0.0374246
      85             9.57441           0.0371265
      86             9.56949           0.0370253
      87             9.57511           0.0370306
      88             9.57352           0.0366465
      89             9.57339           0.0362373
      90             9.57199           0.0358643
      91             9.56854            0.035639
      92             9.57364           0.0356208
      93             9.57302           0.0352453
      94             9.57569           0.0349742
      95             9.57871           0.0347391
      96             9.58144           0.0344875
      97             9.57634           0.0345123
      98             9.57585           0.0341655
      99             9.57581           0.0338221
