# RW_STEP = 87
# BLOCK:          PROG_MEAN:              ERROR:
       0             9.46361                   0
       1             9.24235            0.221264
       2             9.43197            0.228639
       3             9.12459            0.347308
       4             9.13684            0.269302
       5             9.17769            0.223645
       6             9.23026            0.196189
       7             9.25625            0.171882
       8              9.2963            0.156786
       9             9.27562            0.141749
      10             9.26409            0.128735
      11             9.26659            0.117545
      12             9.27677            0.108604
      13             9.27985            0.100595
      14             9.33555            0.108961
      15             9.36029            0.104883
      16             9.35443           0.0986945
      17              9.3488           0.0932202
      18             9.35121           0.0882105
      19             9.34723           0.0837788
      20             9.33944           0.0800692
      21             9.36407           0.0802177
      22             9.35055           0.0778334
      23             9.35544           0.0746799
      24             9.36809           0.0727383
      25             9.38083           0.0710375
      26             9.37139           0.0690055
      27             9.36735           0.0666174
      28              9.3726           0.0644929
      29             9.36869           0.0624287
      30             9.37277           0.0605192
      31             9.35395           0.0615467
      32             9.36576           0.0608106
      33             9.35138           0.0607215
      34               9.361            0.059741
      35             9.35168            0.058801
      36             9.35155           0.0571898
      37             9.35341           0.0556956
      38             9.34942           0.0543952
      39             9.34882           0.0530214
      40             9.35957           0.0528187
      41              9.3551           0.0517395
      42             9.35345           0.0505486
      43             9.34352            0.050376
      44             9.34558           0.0492868
      45             9.34858           0.0482968
      46             9.34707            0.047282
      47              9.3493           0.0463401
      48             9.35571           0.0458348
      49             9.36954           0.0469881
      50             9.37479           0.0463562
      51             9.37958           0.0457077
      52             9.37315           0.0452957
      53             9.37025           0.0445438
      54             9.37404           0.0438911
      55             9.37115           0.0431973
      56             9.37169           0.0424361
      57             9.38791           0.0447396
      58             9.37686           0.0453411
      59             9.38522           0.0453556
      60             9.39023            0.044887
      61             9.39196           0.0441909
      62             9.39373             0.04352
      63             9.37742           0.0458349
      64             9.38142           0.0453012
      65             9.38433           0.0447037
      66             9.38348           0.0440397
      67             9.38716           0.0435437
      68             9.38542           0.0429433
      69             9.38478           0.0423303
      70             9.38731           0.0418065
      71             9.39998           0.0431248
      72             9.39609           0.0427076
      73             9.39783           0.0421624
      74             9.40271           0.0418823
      75             9.40635            0.041487
      76             9.40856           0.0410046
      77             9.41542           0.0410531
      78              9.4097           0.0409323
      79             9.40889           0.0404256
      80             9.41426           0.0402828
      81             9.41286           0.0398131
      82             9.41867            0.039758
      83             9.41475           0.0394768
      84             9.41494             0.03901
      85             9.41743           0.0386341
      86             9.41296           0.0384478
      87              9.4174            0.038266
      88             9.41732           0.0378337
      89             9.41619            0.037428
      90             9.41374           0.0370952
      91             9.41156           0.0367546
      92             9.41737           0.0368186
      93             9.41646           0.0364362
      94             9.41829           0.0360972
      95             9.41963           0.0357442
      96             9.42176           0.0354377
      97             9.41627           0.0355014
      98             9.41638           0.0351412
      99             9.41451           0.0348382
