# RW_STEP = 20
# BLOCK:          PROG_MEAN:              ERROR:
       0             4.62385                   0
       1             4.61952          0.00432945
       2             4.62457          0.00562889
       3             4.66686            0.042482
       4             4.66214           0.0332428
       5             4.67814           0.0315082
       6             4.68837           0.0285258
       7             4.66939           0.0311544
       8             4.65168           0.0326894
       9             4.63126           0.0356635
      10             4.60796           0.0397951
      11             4.62117           0.0386572
      12             4.61534           0.0360348
      13             4.61346           0.0334143
      14             4.61344            0.031107
      15             4.61273           0.0291065
      16             4.58307           0.0403383
      17             4.57151           0.0397504
      18             4.56769           0.0377939
      19             4.57254           0.0361815
      20             4.57166           0.0344266
      21             4.58393            0.035041
      22              4.5915            0.034329
      23             4.58352           0.0338222
      24             4.58383           0.0324426
      25             4.57545           0.0322785
      26             4.56658           0.0323023
      27             4.57024           0.0313417
      28             4.57006           0.0302421
      29             4.57371           0.0294446
      30             4.57073           0.0286353
      31             4.56069           0.0294851
      32             4.57346           0.0312993
      33             4.56755           0.0309339
      34             4.56898           0.0300708
      35              4.5708           0.0292804
      36             4.57415           0.0286742
      37             4.57152           0.0280327
      38             4.56753           0.0275945
      39             4.56631           0.0269233
      40             4.56548           0.0262717
      41             4.57587           0.0276651
      42             4.58536           0.0286327
      43             4.59005           0.0283646
      44             4.58502           0.0281805
      45             4.58717            0.027645
      46             4.58914            0.027122
      47             4.59405           0.0270016
      48             4.59364            0.026448
      49             4.59798           0.0262738
      50             4.59288           0.0262523
      51             4.59377           0.0257578
      52             4.59168           0.0253529
      53             4.59296           0.0249116
      54             4.59309           0.0244548
      55             4.59862           0.0246438
      56             4.59952           0.0242242
      57              4.6024           0.0239765
      58             4.59827           0.0239252
      59             4.59043           0.0247948
      60              4.5872           0.0245984
      61             4.58985           0.0243437
      62             4.59209           0.0240583
      63             4.59784           0.0243666
      64              4.5971           0.0240002
      65             4.60026           0.0238453
      66             4.60084           0.0234938
      67             4.59664           0.0235241
      68             4.59672           0.0231808
      69             4.60381           0.0239225
      70             4.60078           0.0237772
      71               4.603            0.023549
      72             4.60786           0.0237274
      73              4.6048           0.0236031
      74             4.60312           0.0233467
      75             4.60637           0.0232649
      76             4.60645           0.0229609
      77             4.60989           0.0229236
      78             4.60577           0.0230025
      79             4.60605           0.0227148
      80             4.60329           0.0226029
      81             4.60239           0.0223435
      82             4.59708           0.0227022
      83             4.60221           0.0230092
      84             4.60439           0.0228411
      85             4.60032           0.0229379
      86             4.59757           0.0228387
      87             4.60069           0.0227926
      88             4.60007           0.0225436
      89             4.59818           0.0223722
      90             4.59699           0.0221569
      91             4.59667           0.0219171
      92             4.59545           0.0217144
      93             4.59451           0.0215024
      94             4.59541           0.0212938
      95             4.59613           0.0210832
      96             4.59624            0.020865
      97              4.6006           0.0211071
      98             4.60395           0.0211585
      99             4.60671           0.0211277
