# RW_STEP = 84
# BLOCK:          PROG_MEAN:              ERROR:
       0             9.29731                   0
       1             9.13028            0.167027
       2             9.30866            0.202771
       3             9.00356             0.33711
       4             9.01812             0.26153
       5             9.04117            0.214779
       6             9.08679            0.187168
       7             9.10054            0.162673
       8               9.137            0.148025
       9             9.12396            0.133038
      10             9.11239            0.120892
      11             9.11497            0.110389
      12             9.12134            0.101743
      13             9.13083           0.0946725
      14             9.18563            0.103785
      15             9.20499           0.0989918
      16             9.20206           0.0930325
      17             9.19642            0.087893
      18             9.20264           0.0833704
      19             9.19184            0.079826
      20             9.17861           0.0770734
      21              9.1989            0.076236
      22             9.18323           0.0745118
      23             9.20363           0.0741968
      24             9.22259           0.0736513
      25             9.23437           0.0717359
      26             9.22226           0.0700828
      27             9.22193           0.0675343
      28             9.22241           0.0651657
      29             9.21655           0.0632284
      30             9.22308           0.0615029
      31              9.2039           0.0625627
      32             9.22156            0.063157
      33             9.20509           0.0634476
      34             9.21226           0.0620245
      35             9.20479           0.0607388
      36             9.20117           0.0591852
      37             9.20404           0.0576781
      38             9.20056           0.0562869
      39             9.19916           0.0548796
      40             9.20833           0.0543035
      41             9.20215            0.053354
      42             9.20331           0.0521114
      43             9.19284           0.0519769
      44             9.19447           0.0508348
      45             9.19975           0.0499966
      46             9.19679           0.0490104
      47             9.20087           0.0481515
      48              9.2069           0.0475424
      49             9.22256           0.0491443
      50             9.22849            0.048534
      51             9.22996           0.0476142
      52             9.22486           0.0469842
      53             9.21819           0.0465863
      54             9.21599           0.0457843
      55             9.21332           0.0450385
      56             9.21278           0.0442446
      57             9.22807           0.0460849
      58             9.21897           0.0462014
      59              9.2244            0.045748
      60             9.23132           0.0455214
      61             9.23389           0.0448546
      62             9.23605           0.0441899
      63             9.22019            0.046297
      64             9.22426           0.0457605
      65             9.22756            0.045183
      66             9.22517           0.0445676
      67             9.22715           0.0439517
      68             9.22631            0.043318
      69             9.22403           0.0427558
      70               9.227           0.0422539
      71             9.24081           0.0438931
      72             9.23569           0.0435898
      73             9.23709           0.0430195
      74             9.24134           0.0426547
      75             9.24402           0.0421745
      76             9.24589           0.0416654
      77             9.25271           0.0416887
      78             9.24772           0.0414584
      79             9.24757           0.0409371
      80             9.25477           0.0410642
      81             9.25545            0.040566
      82             9.25994            0.040325
      83             9.25762           0.0399093
      84              9.2584           0.0394448
      85             9.25767           0.0389903
      86              9.2513           0.0390635
      87             9.25598           0.0388999
      88             9.25466           0.0384828
      89             9.25295           0.0380913
      90             9.25374           0.0376788
      91             9.25037           0.0374196
      92             9.25669           0.0375517
      93             9.25631           0.0371521
      94             9.25688           0.0367633
      95             9.25712           0.0363791
      96             9.25974           0.0360972
      97             9.25395           0.0361928
      98              9.2521            0.035873
      99             9.25163           0.0355155
