#   N_BLOCK:  ACCEPTANCE:
           1            0.313874
           2            0.312341
           3            0.312107
           4            0.312015
           5             0.31127
           6            0.311634
           7             0.31202
           8            0.311956
           9            0.311859
          10            0.311819
          11            0.311717
          12            0.311657
          13            0.311732
          14            0.311643
          15              0.3116
          16            0.311593
          17            0.311518
          18            0.311584
          19            0.311514
          20            0.311657
