#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.103806            0.103806                   0
           2            0.087558            0.095682          0.00574454
           3            0.070372           0.0872453           0.0078815
           4            0.089828            0.087891          0.00593752
           5             0.11313           0.0929388          0.00655338
           6            0.075238           0.0899887          0.00608908
           7            0.083894            0.089118           0.0052811
           8            0.099704           0.0904412          0.00478387
           9            0.085368           0.0898776          0.00428541
          10            0.092438           0.0901336          0.00386451
          11            0.066562           0.0879907          0.00406411
          12            0.097268           0.0887638          0.00379825
          13             0.08369           0.0883735          0.00352607
          14            0.084478           0.0880953          0.00328517
          15            0.087796           0.0880753          0.00306622
          16             0.10532           0.0891531          0.00305815
          17             0.08273           0.0887753           0.0029015
          18            0.077126           0.0881281          0.00281156
          19            0.094816           0.0884801          0.00268552
          20            0.066568           0.0873845          0.00276572
