#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
         168             1.19192             1.16837           0.0365295
         169             1.19604             1.16853           0.0363138
         170             1.19998             1.16872           0.0361006
         171             1.20374             1.16892           0.0358901
         172             1.20731             1.16915           0.0356821
         173             1.21068             1.16939           0.0354767
         174             1.21385             1.16964           0.0352737
         175             1.21681             1.16991           0.0350732
         176             1.21957             1.17019            0.034875
         177              1.2221             1.17049           0.0346792
         178             1.22442             1.17079           0.0344857
         179             1.22651              1.1711           0.0342945
         180             1.22838             1.17142           0.0341054
         181             1.23003             1.17174           0.0339185
         182             1.23145             1.17207           0.0337338
         183             1.23266              1.1724            0.033551
         184             1.23364             1.17274           0.0333703
         185             1.23441             1.17307           0.0331916
         186             1.23497              1.1734           0.0330149
         187             1.23533             1.17373             0.03284
         188             1.23548             1.17406           0.0326669
         189             1.23543             1.17439           0.0324957
         190              1.2352             1.17471           0.0323262
         191             1.23479             1.17502           0.0321585
         192             1.23419             1.17533           0.0319925
         193             1.23341             1.17563           0.0318282
         194             1.23247             1.17592           0.0316654
         195             1.23137             1.17621           0.0315043
         196              1.2301             1.17648           0.0313448
         197             1.22868             1.17675           0.0311868
         198             1.22711               1.177           0.0310303
         199              1.2254             1.17725           0.0308754
         200             1.22355             1.17748           0.0307218
         201             1.22156              1.1777           0.0305698
         202             1.21945              1.1779           0.0304192
         203             1.21721              1.1781           0.0302699
         204             1.21485             1.17828           0.0301221
         205             1.21238             1.17844           0.0299756
         206             1.20979              1.1786           0.0298305
         207             1.20711             1.17873           0.0296867
         208             1.20432             1.17886           0.0295442
         209             1.20143             1.17896            0.029403
         210             1.19846             1.17906           0.0292632
         211             1.19539             1.17913           0.0291246
         212             1.19224              1.1792           0.0289873
         213             1.18902             1.17924           0.0288512
         214             1.18571             1.17927           0.0287164
         215             1.18234             1.17929           0.0285829
         216             1.17891             1.17929           0.0284505
         217             1.17542             1.17927           0.0283194
         218             1.17188             1.17923           0.0281895
         219              1.1683             1.17918           0.0280609
         220             1.16469             1.17912           0.0279334
         221             1.16105             1.17904           0.0278071
         222             1.15739             1.17894            0.027682
         223             1.15372             1.17883           0.0275581
         224             1.15005              1.1787           0.0274354
         225              1.1464             1.17855           0.0273138
         226             1.14277             1.17839           0.0271934
         227             1.13917             1.17822           0.0270742
         228             1.13561             1.17804           0.0269561
         229             1.13211             1.17783           0.0268391
         230             1.12867             1.17762           0.0267233
         231             1.12531             1.17739           0.0266086
         232             1.12204             1.17716           0.0264949
         233             1.11886             1.17691           0.0263824
         234              1.1158             1.17664            0.026271
         235             1.11285             1.17637           0.0261606
         236             1.11004             1.17609           0.0260512
         237             1.10736              1.1758           0.0259429
         238             1.10483              1.1755           0.0258356
         239             1.10246              1.1752           0.0257293
         240             1.10025             1.17489            0.025624
         241             1.09821             1.17457           0.0255197
         242             1.09635             1.17424           0.0254163
         243             1.09467             1.17392           0.0253138
         244             1.09317             1.17359           0.0252122
         245             1.09187             1.17325           0.0251115
         246             1.09075             1.17292           0.0250117
         247             1.08984             1.17258           0.0249127
         248             1.08912             1.17224           0.0248145
         249              1.0886             1.17191           0.0247171
         250             1.08829             1.17157           0.0246205
         251              1.0882             1.17124           0.0245247
         252             1.08831             1.17091           0.0244295
         253             1.08863             1.17059           0.0243351
         254             1.08917             1.17027           0.0242414
         255             1.08992             1.16995           0.0241484
         256             1.09088             1.16964           0.0240561
         257             1.09207             1.16934           0.0239644
         258             1.09348             1.16905           0.0238733
         259             1.09512             1.16876           0.0237828
         260             1.09698             1.16849           0.0236929
         261             1.09905             1.16822           0.0236037
         262             1.10134             1.16796            0.023515
         263             1.10385             1.16772           0.0234268
         264             1.10656             1.16749           0.0233392
         265             1.10947             1.16727           0.0232522
         266             1.11259             1.16706           0.0231657
         267             1.11589             1.16687           0.0230797
         268             1.11938              1.1667           0.0229943
         269             1.12304             1.16653           0.0229093
         270             1.12685             1.16639            0.022825
         271              1.1308             1.16625           0.0227411
         272             1.13487             1.16614           0.0226578
         273             1.13905             1.16604            0.022575
         274             1.14332             1.16596           0.0224928
         275             1.14765             1.16589           0.0224111
         276             1.15203             1.16584             0.02233
         277             1.15643             1.16581           0.0222494
         278             1.16082             1.16579           0.0221693
         279              1.1652             1.16579           0.0220899
         280             1.16954              1.1658            0.022011
         281             1.17382             1.16583           0.0219327
         282             1.17801             1.16587           0.0218549
         283             1.18209             1.16593           0.0217778
         284             1.18606               1.166           0.0217012
         285             1.18988             1.16608           0.0216252
         286             1.19356             1.16618           0.0215498
         287             1.19707             1.16629            0.021475
         288             1.20041             1.16641           0.0214008
         289             1.20357             1.16653           0.0213271
         290             1.20655             1.16667            0.021254
         291             1.20933             1.16682           0.0211815
         292             1.21193             1.16697           0.0211095
         293             1.21433             1.16714           0.0210381
         294             1.21656              1.1673           0.0209672
         295              1.2186             1.16748           0.0208969
         296             1.22047             1.16766            0.020827
         297             1.22218             1.16784           0.0207577
         298             1.22372             1.16803           0.0206889
         299             1.22512             1.16822           0.0206206
         300             1.22639             1.16841           0.0205528
         301             1.22755             1.16861           0.0204854
