#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
         168            0.794614            0.778914            0.024353
         169            0.797358            0.779023           0.0242092
         170            0.799987            0.779146           0.0240671
         171            0.802494            0.779283           0.0239267
         172            0.804874            0.779432           0.0237881
         173            0.807123            0.779592           0.0236511
         174            0.809235            0.779762           0.0235158
         175             0.81121            0.779942           0.0233821
         176            0.813045             0.78013             0.02325
         177            0.814735            0.780325           0.0231195
         178            0.816278            0.780527           0.0229905
         179            0.817674            0.780735            0.022863
         180             0.81892            0.780947           0.0227369
         181            0.820019            0.781163           0.0226124
         182            0.820969            0.781382           0.0224892
         183            0.821772            0.781602           0.0223674
         184            0.822429            0.781824           0.0222469
         185            0.822942            0.782047           0.0221278
         186            0.823316            0.782268           0.0220099
         187            0.823551            0.782489           0.0218933
         188            0.823651            0.782708           0.0217779
         189            0.823623            0.782925           0.0216638
         190            0.823468            0.783138           0.0215508
         191             0.82319            0.783348            0.021439
         192            0.822792            0.783553           0.0213283
         193            0.822275            0.783754           0.0212188
         194            0.821648            0.783949           0.0211103
         195            0.820913            0.784139           0.0210029
         196             0.82007            0.784322           0.0208965
         197            0.819123            0.784499           0.0207912
         198            0.818076            0.784668           0.0206869
         199            0.816933             0.78483           0.0205836
         200            0.815699            0.784985           0.0204812
         201            0.814376            0.785131           0.0203799
         202            0.812968            0.785269           0.0202794
         203            0.811475            0.785398           0.0201799
         204            0.809902            0.785518           0.0200814
         205            0.808251            0.785629           0.0199837
         206            0.806528             0.78573            0.019887
         207            0.804737            0.785822           0.0197911
         208            0.802878            0.785904           0.0196961
         209            0.800955            0.785976            0.019602
         210            0.798971            0.786038           0.0195088
         211            0.796929             0.78609           0.0194164
         212             0.79483            0.786131           0.0193249
         213            0.792677            0.786162           0.0192342
         214            0.790474            0.786182           0.0191443
         215            0.788225            0.786191           0.0190552
         216            0.785938             0.78619            0.018967
         217            0.783613            0.786178           0.0188796
         218            0.781254            0.786156            0.018793
         219            0.778867            0.786122           0.0187072
         220            0.776457            0.786078           0.0186223
         221            0.774031            0.786024           0.0185381
         222            0.771593            0.785959           0.0184547
         223            0.769148            0.785883           0.0183721
         224            0.766702            0.785798           0.0182903
         225            0.764266            0.785702           0.0182092
         226            0.761844            0.785597            0.018129
         227            0.759444            0.785481           0.0180495
         228            0.757073            0.785357           0.0179707
         229            0.754737            0.785223           0.0178928
         230            0.752444            0.785081           0.0178155
         231            0.750204             0.78493            0.017739
         232            0.748023             0.78477           0.0176633
         233            0.745908            0.784604           0.0175883
         234            0.743863             0.78443            0.017514
         235            0.741901            0.784249           0.0174404
         236            0.740026            0.784061           0.0173675
         237            0.738243            0.783868           0.0172953
         238            0.736556            0.783669           0.0172238
         239            0.734973            0.783465           0.0171529
         240              0.7335            0.783257           0.0170827
         241             0.73214            0.783045           0.0170131
         242            0.730898             0.78283           0.0169442
         243            0.729779            0.782611           0.0168759
         244            0.728783            0.782391           0.0168081
         245            0.727912            0.782168            0.016741
         246             0.72717            0.781945           0.0166744
         247            0.726558             0.78172           0.0166084
         248            0.726079            0.781496            0.016543
         249            0.725735            0.781272           0.0164781
         250             0.72553            0.781049           0.0164137
         251            0.725464            0.780828           0.0163498
         252            0.725539            0.780608           0.0162864
         253            0.725753            0.780392           0.0162234
         254            0.726111            0.780178            0.016161
         255            0.726612            0.779968            0.016099
         256            0.727256            0.779762           0.0160374
         257            0.728049            0.779561           0.0159762
         258             0.72899            0.779365           0.0159155
         259            0.730079            0.779174           0.0158552
         260            0.731318             0.77899           0.0157953
         261            0.732702            0.778813           0.0157358
         262            0.734229            0.778643           0.0156766
         263            0.735897             0.77848           0.0156179
         264            0.737705            0.778326           0.0155595
         265             0.73965             0.77818           0.0155014
         266            0.741726            0.778043           0.0154438
         267            0.743929            0.777915           0.0153865
         268            0.746255            0.777797           0.0153295
         269            0.748693            0.777689           0.0152729
         270            0.751233            0.777591           0.0152166
         271            0.753867            0.777503           0.0151607
         272            0.756581            0.777426           0.0151052
         273            0.759366             0.77736             0.01505
         274            0.762211            0.777305           0.0149952
         275              0.7651             0.77726           0.0149407
         276            0.768018            0.777227           0.0148866
         277            0.770951            0.777204           0.0148329
         278            0.773883            0.777192           0.0147796
         279            0.776802            0.777191           0.0147266
         280            0.779694              0.7772            0.014674
         281            0.782543            0.777219           0.0146218
         282            0.785337            0.777248             0.01457
         283            0.788062            0.777286           0.0145185
         284            0.790705            0.777333           0.0144675
         285            0.793256            0.777389           0.0144168
         286            0.795706            0.777453           0.0143666
         287            0.798048            0.777525           0.0143167
         288            0.800275            0.777604           0.0142672
         289            0.802382             0.77769           0.0142181
         290            0.804365            0.777782           0.0141694
         291            0.806223            0.777879            0.014121
         292            0.807952            0.777982            0.014073
         293            0.809556             0.77809           0.0140254
         294             0.81104            0.778202           0.0139781
         295            0.812403            0.778318           0.0139312
         296            0.813649            0.778437           0.0138847
         297            0.814783             0.77856           0.0138385
         298            0.815815            0.778685           0.0137926
         299             0.81675            0.778812           0.0137471
         300            0.817597            0.778941           0.0137018
         301            0.818365            0.779072           0.0136569
         302            0.819065            0.779205           0.0136124
         303            0.819702            0.779338           0.0135681
         304             0.82029            0.779473           0.0135241
         305            0.820836            0.779609           0.0134805
         306            0.821346            0.779745           0.0134371
         307            0.821829            0.779882            0.013394
         308            0.822293             0.78002           0.0133513
         309            0.822746            0.780158           0.0133088
         310            0.823198            0.780297           0.0132666
         311            0.823651            0.780436           0.0132246
         312            0.824113            0.780576            0.013183
         313             0.82459            0.780717           0.0131416
         314            0.825088            0.780858           0.0131005
         315            0.825614               0.781           0.0130597
         316             0.82617            0.781143           0.0130192
         317             0.82676            0.781287           0.0129789
         318             0.82739            0.781432           0.0129389
         319            0.828063            0.781578           0.0128991
         320             0.82878            0.781726           0.0128597
         321            0.829542            0.781875           0.0128205
         322            0.830352            0.782025           0.0127816
         323             0.83121            0.782178           0.0127429
         324            0.832117            0.782332           0.0127045
         325            0.833074            0.782488           0.0126664
         326            0.834078            0.782646           0.0126285
         327            0.835126            0.782807           0.0125909
         328            0.836215             0.78297           0.0125536
         329            0.837341            0.783135           0.0125165
         330              0.8385            0.783303           0.0124797
         331             0.83969            0.783473           0.0124431
         332            0.840905            0.783646           0.0124069
         333            0.842134            0.783822           0.0123709
         334             0.84337               0.784           0.0123351
         335            0.844609            0.784181           0.0122996
         336            0.845838            0.784364           0.0122644
         337            0.847052             0.78455           0.0122294
         338            0.848242            0.784739           0.0121947
         339              0.8494            0.784929           0.0121602
         340            0.850517            0.785122           0.0121259
         341            0.851583            0.785317           0.0120919
         342            0.852589            0.785514           0.0120582
         343            0.853529            0.785712           0.0120247
         344            0.854397            0.785912           0.0119914
         345            0.855185            0.786113           0.0119583
         346            0.855887            0.786314           0.0119254
         347            0.856498            0.786517           0.0118928
         348            0.857015            0.786719           0.0118603
         349            0.857433            0.786922           0.0118281
         350            0.857747            0.787124            0.011796
         351            0.857955            0.787326           0.0117641
         352            0.858052            0.787527           0.0117324
         353            0.858039            0.787727           0.0117009
         354            0.857918            0.787925           0.0116695
         355            0.857685            0.788121           0.0116383
         356            0.857341            0.788316           0.0116072
         357            0.856886            0.788508           0.0115763
         358            0.856322            0.788697           0.0115455
         359            0.855651            0.788884           0.0115149
         360            0.854876            0.789067           0.0114843
         361            0.853999            0.789247           0.0114539
         362            0.853022            0.789423           0.0114236
         363            0.851949            0.789596           0.0113935
         364            0.850785            0.789764           0.0113634
         365            0.849534            0.789927           0.0113335
         366            0.848195            0.790087           0.0113036
         367            0.846774            0.790241           0.0112739
         368            0.845276            0.790391           0.0112442
         369            0.843705            0.790535           0.0112147
         370            0.842068            0.790674           0.0111852
         371             0.84037            0.790808           0.0111559
         372            0.838612            0.790937           0.0111266
         373            0.836801             0.79106           0.0110975
         374            0.834944            0.791177           0.0110684
         375            0.833049            0.791289           0.0110395
         376            0.831125            0.791395           0.0110106
         377            0.829182            0.791495           0.0109819
         378             0.82723            0.791589           0.0109532
         379            0.825275            0.791678           0.0109247
         380            0.823327            0.791762           0.0108963
         381            0.821396            0.791839           0.0108679
         382            0.819492            0.791912           0.0108397
         383            0.817626            0.791979           0.0108116
         384            0.815806            0.792041           0.0107837
         385            0.814041            0.792098           0.0107558
         386            0.812344            0.792151           0.0107281
         387            0.810724            0.792199           0.0107005
         388             0.80919            0.792242            0.010673
         389             0.80775            0.792282           0.0106456
         390            0.806411            0.792318           0.0106184
         391            0.805178            0.792351           0.0105913
         392            0.804056            0.792381           0.0105643
         393            0.803052            0.792408           0.0105374
         394            0.802169            0.792433           0.0105107
         395            0.801407            0.792456           0.0104841
         396            0.800767            0.792477           0.0104577
         397            0.800246            0.792496           0.0104314
         398            0.799842            0.792515           0.0104052
         399            0.799556            0.792533           0.0103791
         400            0.799382             0.79255           0.0103532
         401            0.799317            0.792567           0.0103274
         402            0.799355            0.792583           0.0103017
         403            0.799492            0.792601           0.0102761
         404            0.799719            0.792618           0.0102507
         405            0.800034            0.792636           0.0102254
         406            0.800433            0.792656           0.0102003
         407            0.800909            0.792676           0.0101752
         408            0.801458            0.792697           0.0101503
         409            0.802073             0.79272           0.0101255
         410            0.802753            0.792745           0.0101008
         411            0.803497            0.792771           0.0100763
         412            0.804299            0.792799           0.0100519
         413            0.805154            0.792829           0.0100276
         414            0.806062            0.792861           0.0100034
         415            0.807019            0.792895          0.00997938
         416            0.808022            0.792931          0.00995545
         417            0.809068             0.79297          0.00993165
         418            0.810151            0.793011          0.00990798
         419            0.811271            0.793055          0.00988443
         420            0.812422            0.793101            0.009861
         421            0.813599             0.79315           0.0098377
         422            0.814798            0.793201          0.00981452
         423            0.816012            0.793255          0.00979147
         424            0.817235            0.793311          0.00976854
         425            0.818461            0.793371          0.00974573
         426            0.819682            0.793432          0.00972305
         427            0.820891            0.793497          0.00970049
         428            0.822081            0.793563          0.00967806
         429            0.823247            0.793633          0.00965574
         430            0.824375            0.793704          0.00963355
         431            0.825456            0.793778          0.00961148
         432            0.826479            0.793853          0.00958953
         433            0.827436            0.793931           0.0095677
         434            0.828314             0.79401          0.00954598
         435            0.829105            0.794091          0.00952438
         436            0.829799            0.794173          0.00950289
         437            0.830387            0.794256           0.0094815
         438            0.830858            0.794339          0.00946022
         439            0.831202            0.794423          0.00943905
         440            0.831411            0.794507          0.00941797
         441            0.831478            0.794591          0.00939698
         442            0.831396            0.794674          0.00937609
         443             0.83116            0.794757          0.00935529
         444            0.830766            0.794838          0.00933457
         445            0.830214            0.794917          0.00931393
         446            0.829502            0.794995          0.00929337
         447            0.828631             0.79507          0.00927289
         448              0.8276            0.795143          0.00925247
         449            0.826412            0.795212          0.00923213
         450            0.825075            0.795279          0.00921185
         451            0.823595            0.795342          0.00919164
         452            0.821985              0.7954          0.00917149
         453            0.820254            0.795455          0.00915141
         454            0.818413            0.795506          0.00913139
         455            0.816476            0.795552          0.00911144
         456            0.814456            0.795593          0.00909155
         457            0.812372             0.79563          0.00907173
         458            0.810241            0.795662          0.00905198
         459            0.808079            0.795689           0.0090323
         460            0.805906            0.795711          0.00901269
         461            0.803741            0.795729          0.00899316
         462            0.801602            0.795741           0.0089737
         463            0.799509             0.79575          0.00895433
         464            0.797483            0.795753          0.00893503
         465            0.795541            0.795753          0.00891581
         466              0.7937            0.795748          0.00889668
         467            0.791975             0.79574          0.00887763
         468            0.790384            0.795729          0.00885867
         469             0.78894            0.795714           0.0088398
         470            0.787653            0.795697            0.008821
         471            0.786535            0.795678           0.0088023
         472            0.785594            0.795656          0.00878367
         473            0.784835            0.795634          0.00876513
         474            0.784266             0.79561          0.00874668
         475            0.783887            0.795585           0.0087283
         476              0.7837             0.79556             0.00871
         477            0.783699            0.795535          0.00869177
         478             0.78388            0.795511          0.00867362
         479            0.784235            0.795487          0.00865555
         480            0.784757            0.795465          0.00863754
         481            0.785435            0.795444          0.00861961
         482            0.786256            0.795425          0.00860175
         483            0.787206            0.795408          0.00858396
         484            0.788269            0.795393          0.00856623
         485            0.789429            0.795381          0.00854858
         486            0.790669            0.795371            0.008531
         487            0.791971            0.795364          0.00851348
         488            0.793314             0.79536          0.00849604
         489            0.794678            0.795359          0.00847866
         490             0.79604             0.79536          0.00846136
         491             0.79738            0.795364          0.00844413
         492            0.798676            0.795371          0.00842697
         493            0.799909             0.79538          0.00840988
         494            0.801057            0.795392          0.00839286
         495            0.802101            0.795405          0.00837592
         496            0.803021             0.79542          0.00835904
         497            0.803801            0.795437          0.00834224
