#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
         177             7.61866             7.93188            0.169865
         178             7.60537             7.93005            0.168921
         179             7.59245             7.92816            0.167987
         180             7.58202             7.92624            0.167065
         181              7.5741             7.92429            0.166153
         182             7.56656             7.92233            0.165252
         183              7.5594             7.92034            0.164361
         184             7.55331             7.91835             0.16348
         185              7.5504             7.91636            0.162608
         186             7.54782             7.91438            0.161746
         187             7.54486              7.9124            0.160893
         188             7.54361             7.91044            0.160049
         189             7.54404              7.9085            0.159214
         190             7.54474             7.90659            0.158388
         191             7.54638              7.9047             0.15757
         192             7.55176             7.90286             0.15676
         193              7.5552             7.90106            0.155958
         194             7.55951              7.8993            0.155164
         195             7.56538             7.89759            0.154378
         196             7.57208             7.89593            0.153599
         197             7.57886             7.89432            0.152828
         198             7.58924             7.89278            0.152064
         199             7.59543             7.89128            0.151307
         200             7.60516             7.88985            0.150557
         201             7.61418             7.88848            0.149814
         202             7.62388             7.88717            0.149078
         203             7.63423             7.88592            0.148349
         204             7.64663             7.88475            0.147627
         205              7.6568             7.88364            0.146911
         206             7.66755             7.88259            0.146201
         207             7.68167             7.88162            0.145498
         208             7.69492             7.88072            0.144802
         209              7.7129             7.87992            0.144111
         210             7.72572             7.87918            0.143427
         211             7.73899             7.87852            0.142748
         212             7.75409             7.87793            0.142076
         213             7.77101             7.87743             0.14141
         214             7.78829             7.87701             0.14075
         215             7.80447             7.87668            0.140096
         216             7.82166             7.87642            0.139447
         217              7.8384             7.87625            0.138805
         218             7.85536             7.87615            0.138168
         219              7.8725             7.87614            0.137537
         220             7.89117              7.8762            0.136912
         221             7.90853             7.87635            0.136293
         222             7.92522             7.87657            0.135679
         223             7.94544             7.87688            0.135071
         224             7.96347             7.87727            0.134468
         225             7.98211             7.87773            0.133872
         226             7.99706             7.87826             0.13328
         227             8.01461             7.87886            0.132694
         228             8.03189             7.87953            0.132114
         229             8.04815             7.88027            0.131539
         230             8.06473             7.88107             0.13097
         231             8.08229             7.88194            0.130406
         232             8.09796             7.88287            0.129847
         233              8.1138             7.88386            0.129293
         234             8.12624              7.8849            0.128745
         235             8.13945             7.88598            0.128202
         236             8.15058              7.8871            0.127663
         237             8.16312             7.88827             0.12713
         238             8.17631             7.88948            0.126602
         239             8.18942             7.89073            0.126078
         240             8.19959             7.89202            0.125559
         241              8.2082             7.89333            0.125045
         242             8.21875             7.89468            0.124536
         243             8.22629             7.89604            0.124031
         244              8.2315             7.89742             0.12353
         245             8.23648              7.8988            0.123034
         246             8.24262              7.9002            0.122541
         247             8.24568              7.9016            0.122053
         248             8.24705             7.90299            0.121569
         249             8.24955             7.90438            0.121089
         250             8.25104             7.90577            0.120612
         251             8.25082             7.90714             0.12014
         252             8.24747             7.90849            0.119671
         253             8.24381             7.90982            0.119205
         254             8.24124             7.91112            0.118743
         255             8.23835             7.91241            0.118284
         256             8.23301             7.91366            0.117829
         257             8.22523             7.91487            0.117376
         258             8.21853             7.91605            0.116927
         259             8.21151             7.91719            0.116481
         260             8.20208             7.91828            0.116039
         261             8.19165             7.91933            0.115599
         262             8.18237             7.92034            0.115162
         263             8.17001             7.92129            0.114728
         264             8.15603             7.92217            0.114297
         265             8.14328             7.92301            0.113868
         266             8.12968             7.92379            0.113443
         267             8.11317             7.92449             0.11302
