#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.682504           -0.682504                   0
           2            -0.68216           -0.682332         0.000121622
           3           -0.678132           -0.680932          0.00114597
           4            -0.68328           -0.681519         0.000998561
           5           -0.680632           -0.681342         0.000814455
           6           -0.681512            -0.68137         0.000679207
           7           -0.682348            -0.68151         0.000596374
           8             -0.6815           -0.681509         0.000521829
           9           -0.682508            -0.68162         0.000475518
          10           -0.682064           -0.681664         0.000430039
          11           -0.679456           -0.681463         0.000435277
          12           -0.682788           -0.681574         0.000412765
          13           -0.685336           -0.681863         0.000471685
          14           -0.684556           -0.682055         0.000475599
          15           -0.681872           -0.682043          0.00044405
          16           -0.682216           -0.682054         0.000416428
          17           -0.682028           -0.682052         0.000391935
          18           -0.683352           -0.682125         0.000376752
          19           -0.683412           -0.682192         0.000362964
          20           -0.680456           -0.682106         0.000355048
