#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.365382            0.365382                   0
           2            0.386438             0.37591          0.00744432
           3             0.36709             0.37297          0.00551297
           4            0.369182            0.372023          0.00421528
           5            0.380097            0.373638          0.00366852
           6            0.367543            0.372622          0.00319465
           7            0.373953            0.372812          0.00274393
           8            0.373555            0.372905          0.00240251
           9            0.363393            0.371848          0.00235661
          10            0.373941            0.372057          0.00213022
          11            0.372168            0.372067          0.00193659
          12            0.367808            0.371712          0.00180744
          13              0.3681            0.371435          0.00168963
          14            0.376268             0.37178          0.00160383
          15            0.362034             0.37113          0.00162319
          16            0.369829            0.371049          0.00152377
          17            0.377446            0.371425          0.00147988
          18             0.37961             0.37188          0.00146586
          19            0.371874             0.37188           0.0013887
          20            0.367682             0.37167          0.00133504
