#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             4.56613             4.56613                   0
           2             4.48896             4.52755           0.0272849
           3             4.19908             4.41806             0.09123
           4             4.38037             4.40863           0.0689073
           5             4.52492             4.43189           0.0589202
           6             4.35427             4.41895           0.0505006
           7             4.21036             4.38916           0.0513307
           8             4.19828              4.3653           0.0501541
           9             4.39297             4.36837           0.0446756
          10             4.34724             4.36626           0.0402579
          11              4.2318             4.35403            0.038409
          12             4.63677              4.3776            0.041815
          13             4.40995             4.38008           0.0386725
          14             4.22726             4.36917           0.0374191
          15             4.26477             4.36221           0.0355658
          16             4.34699             4.36126           0.0333557
          17              4.3614             4.36127           0.0313936
          18             4.44866             4.36612           0.0300226
          19             4.67293             4.38227           0.0324961
          20             4.41219             4.38377           0.0309057
