#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
         161             1.54734            -0.85968            0.215586
         162             1.54385           -0.844844            0.214765
         163             1.54084           -0.830208            0.213946
         164             1.53832           -0.815765            0.213128
         165             1.53577           -0.801514            0.212312
         166             1.53224           -0.787455            0.211498
         167             1.52797            -0.77359            0.210686
         168             1.52418           -0.759913            0.209875
         169             1.52019           -0.746421            0.209067
         170             1.51603           -0.733113             0.20826
         171             1.51272           -0.719979            0.207456
         172             1.50887           -0.707021            0.206654
         173             1.50456           -0.694237            0.205855
         174             1.50107            -0.68162            0.205058
         175             1.49702           -0.669171            0.204264
         176             1.49393            -0.65688            0.203472
         177             1.49021            -0.64475            0.202684
         178              1.4869           -0.632774            0.201899
         179             1.48501           -0.620943            0.201117
         180             1.48366           -0.609251             0.20034
         181             1.48313           -0.597691            0.199566
         182             1.48227           -0.586262            0.198796
         183             1.48206            -0.57496            0.198031
         184             1.48301           -0.563776             0.19727
         185             1.48488           -0.552702            0.196515
         186             1.48743           -0.541733            0.195764
         187             1.49064           -0.530865            0.195019
         188             1.49449           -0.520092            0.194279
         189             1.49821           -0.509413            0.193544
         190             1.50296           -0.498822            0.192815
         191             1.50845           -0.488312            0.192092
         192              1.5139           -0.477884            0.191374
         193             1.51997           -0.467532            0.190662
         194             1.52706           -0.457251            0.189956
         195             1.53415           -0.447039            0.189257
         196             1.54116           -0.436895            0.188563
         197             1.54802           -0.426819            0.187874
         198              1.5542           -0.416814            0.187192
         199             1.56081           -0.406876            0.186515
         200             1.56731           -0.397005            0.185843
         201             1.57317           -0.387203            0.185177
         202             1.57904            -0.37747            0.184516
         203             1.58488           -0.367803             0.18386
         204             1.59086           -0.358202            0.183209
         205             1.59623           -0.348668            0.182563
         206             1.60117           -0.339202            0.181922
         207             1.60542           -0.329808            0.181286
         208             1.60916           -0.320486            0.180654
         209             1.61309           -0.311235            0.180026
         210             1.61549            -0.30206            0.179403
         211             1.61848           -0.292958            0.178783
         212              1.6201           -0.283934            0.178167
         213             1.62033           -0.274994            0.177555
         214             1.62032           -0.266137            0.176946
         215             1.61884            -0.25737             0.17634
         216             1.61777           -0.248688            0.175737
         217             1.61491             -0.2401            0.175137
         218             1.61238           -0.231603             0.17454
         219             1.60847           -0.223201            0.173945
         220             1.60385           -0.214896            0.173352
         221             1.59826           -0.206692            0.172762
         222             1.59072           -0.198595            0.172173
         223             1.58312           -0.190605            0.171587
         224             1.57377           -0.182729            0.171001
         225             1.56317           -0.174969            0.170417
         226              1.5525           -0.167325            0.169835
         227             1.53964           -0.159806            0.169253
         228             1.52752           -0.152405            0.168672
         229             1.51377           -0.145129            0.168092
         230             1.49871           -0.137982            0.167514
         231             1.48362           -0.130962            0.166935
         232             1.46712           -0.124074            0.166358
         233             1.44982           -0.117319            0.165781
         234              1.4323           -0.110697            0.165205
         235             1.41395           -0.104209            0.164629
         236             1.39562          -0.0978537            0.164054
         237             1.37814          -0.0916259             0.16348
         238             1.35997          -0.0855267            0.162907
         239              1.3424          -0.0795522            0.162335
         240             1.32507          -0.0736996            0.161764
         241             1.30762          -0.0679679            0.161194
         242             1.29037           -0.062355            0.160626
         243             1.27317           -0.056859            0.160059
         244              1.2573          -0.0514731            0.159493
         245             1.24235          -0.0461922             0.15893
         246             1.22741           -0.041015            0.158368
         247             1.21421          -0.0359331            0.157808
         248             1.20133          -0.0309441            0.157251
         249                1.19          -0.0260407            0.156696
         250             1.17927          -0.0212195            0.156143
         251             1.16913           -0.016477            0.155593
         252             1.15959          -0.0118101            0.155046
         253             1.15134         -0.00721266            0.154501
         254             1.14414         -0.00267979            0.153959
         255             1.13698          0.00178945             0.15342
         256             1.13056          0.00619872            0.152884
         257             1.12485           0.0105515            0.152351
         258             1.12006           0.0148519            0.151822
         259             1.11516           0.0191002            0.151295
         260             1.11207           0.0233039            0.150771
         261             1.10904           0.0274638            0.150251
         262             1.10677           0.0315833            0.149734
         263             1.10497           0.0356646             0.14922
         264             1.10384           0.0397108             0.14871
         265             1.10263           0.0437218            0.148203
         266             1.10227           0.0477013            0.147699
         267             1.10175            0.051649            0.147199
         268             1.10129           0.0555656            0.146701
         269             1.10086           0.0594515            0.146208
         270             1.10141           0.0633106            0.145717
         271             1.10145           0.0671413             0.14523
         272             1.10267           0.0709484            0.144746
         273             1.10359            0.074731            0.144265
         274             1.10444           0.0784891            0.143787
         275             1.10594           0.0822253            0.143313
         276             1.10808           0.0859421            0.142842
         277             1.11013           0.0896395            0.142374
         278             1.11304           0.0933208            0.141909
         279             1.11418           0.0969798            0.141448
         280             1.11571            0.100618             0.14099
         281              1.1174            0.104237            0.140534
         282             1.11925            0.107836            0.140082
         283             1.12177            0.111419            0.139633
         284             1.12519            0.114988            0.139187
         285             1.12881            0.118546            0.138744
         286             1.13169            0.122088            0.138304
         287             1.13552            0.125619            0.137867
         288             1.13912            0.129138            0.137433
         289             1.14323            0.132647            0.137003
         290             1.14739            0.136146            0.136575
         291              1.1521            0.139638             0.13615
         292             1.15641             0.14312            0.135728
         293             1.16155            0.146596             0.13531
         294             1.16656            0.150065            0.134894
         295             1.17315            0.153533            0.134481
         296             1.17964            0.156999            0.134072
         297             1.18653            0.160466            0.133665
         298             1.19309            0.163931            0.133261
         299             1.20077            0.167399            0.132861
         300             1.20909            0.170871            0.132463
         301             1.21804             0.17435            0.132069
         302              1.2269            0.177835            0.131677
         303             1.23588            0.181327            0.131289
         304              1.2457            0.184828            0.130904
         305             1.25585             0.18834            0.130522
         306              1.2651            0.191859            0.130143
         307             1.27487            0.195386            0.129767
         308             1.28562            0.198926            0.129394
         309             1.29635            0.202478            0.129024
         310             1.30825            0.206045            0.128657
         311             1.31959            0.209625            0.128293
         312             1.33059            0.213218            0.127932
         313             1.34219            0.216825            0.127574
         314             1.35365            0.220446            0.127219
         315             1.36541             0.22408            0.126867
         316             1.37677            0.227728            0.126518
         317             1.38889            0.231391            0.126172
         318             1.40033            0.235067            0.125829
         319             1.41229            0.238757            0.125488
         320              1.4238            0.242461            0.125151
         321              1.4356            0.246178            0.124816
         322             1.44743            0.249908            0.124484
         323             1.45956            0.253653            0.124155
         324             1.47246            0.257415            0.123829
         325             1.48374            0.261188            0.123505
         326             1.49652            0.264978            0.123185
         327             1.50768            0.268778            0.122867
         328             1.52035            0.272594            0.122551
         329             1.53211            0.276422            0.122239
         330             1.54465            0.280265            0.121929
         331             1.55576            0.284119            0.121621
         332             1.56833            0.287987            0.121316
         333             1.58064            0.291868            0.121014
         334             1.59313            0.295764            0.120714
         335             1.60551            0.299674            0.120417
         336             1.61775            0.303597            0.120123
         337             1.63001            0.307533            0.119831
         338             1.64202            0.311481            0.119541
         339             1.65392            0.315441            0.119254
         340             1.66543            0.319412             0.11897
