#   N_BLOCK:  ACCEPTANCE:
           1            0.024722
           2             0.02668
           3           0.0259763
           4           0.0244045
           5           0.0250872
           6           0.0256243
           7           0.0247179
           8           0.0244005
           9           0.0245482
          10           0.0247716
          11           0.0248256
          12           0.0251174
          13           0.0252377
          14           0.0251667
          15           0.0251997
          16           0.0256556
          17           0.0258067
          18           0.0259606
          19           0.0257066
          20             0.02609
