#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1             0.31808             0.31808                   0
           2            0.353326            0.335703           0.0124614
           3            0.323056            0.331487          0.00899244
           4            0.260437            0.313725           0.0167964
           5            0.336472            0.318274           0.0140397
           6            0.337512             0.32148           0.0120603
           7            0.262362            0.313035           0.0129615
           8            0.285673            0.309615           0.0117839
           9            0.338169            0.312787           0.0108933
          10            0.336973            0.315206           0.0100689
          11            0.318166            0.315475          0.00915715
          12            0.352205            0.318536          0.00889091
          13            0.341388            0.320294          0.00837898
          14            0.306292            0.319294          0.00783993
          15            0.334442            0.320303          0.00738203
          16            0.377701            0.323891           0.0077434
          17            0.340965            0.324895          0.00735276
          18            0.366801            0.327223          0.00730356
          19            0.282712            0.324881          0.00728519
          20            0.370333            0.327153          0.00726677
