#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             79.5876             79.5876                   0
           2              76.016             77.8018             1.26274
           3             78.9504             78.1846            0.897998
           4             84.8227             79.8442             1.58716
           5              76.302             79.1357             1.41905
           6             76.4802             78.6931             1.24966
           7             85.9984             79.7367             1.44252
           8             82.0278             80.0231             1.29032
           9             79.5356              79.969             1.14809
          10             78.2732             79.7994             1.04573
          11              78.741             79.7032            0.955076
          12             76.0227             79.3965             0.92342
          13             78.5039             79.3278            0.854936
          14             79.9654             79.3734            0.795082
          15              79.746             79.3982            0.742464
          16             72.3777             78.9594            0.815474
          17             75.8341             78.7756            0.787955
          18               77.35             78.6964             0.74815
          19             83.9266             78.9716            0.757725
          20             71.0169             78.5739             0.81759
