#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.975284           -0.975284                   0
           2             -0.9715           -0.973392          0.00133785
           3           -0.975012           -0.973932         0.000994928
           4           -0.980464           -0.975565          0.00159901
           5           -0.972272           -0.974906          0.00140832
           6           -0.971844           -0.974396          0.00126271
           7           -0.980912           -0.975327          0.00138352
           8           -0.977856           -0.975643          0.00124618
           9           -0.974312           -0.975495          0.00111645
          10            -0.97342           -0.975288          0.00102391
          11            -0.97454            -0.97522         0.000933082
          12           -0.971604           -0.974918         0.000902662
          13           -0.973432           -0.974804         0.000840436
          14            -0.97576           -0.974872         0.000783174
          15            -0.97418           -0.974826         0.000732321
          16           -0.967556           -0.974372         0.000815422
          17           -0.971736           -0.974217         0.000782057
          18           -0.971324           -0.974056         0.000754941
          19           -0.978852           -0.974308          0.00075623
          20           -0.966488           -0.973917         0.000813251
