#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.020948            0.020948                   0
           2            0.036662            0.028805          0.00555574
           3            0.038498            0.032036           0.0045473
           4            0.032748            0.032214          0.00341395
           5            0.021578           0.0300868          0.00332855
           6            0.041594           0.0320047          0.00328011
           7            0.029988           0.0317166          0.00282414
           8            0.030308           0.0315405          0.00247661
           9            0.032608           0.0316591          0.00220427
          10            0.023116           0.0308048          0.00214301
          11            0.038848            0.031536          0.00206918
          12             0.03001           0.0314088          0.00190065
          13            0.027174           0.0310831          0.00178214
          14             0.03249           0.0311836          0.00165768
          15            0.037328           0.0315932          0.00159698
          16            0.028168           0.0313791          0.00151144
          17            0.032462           0.0314428          0.00142388
          18            0.030808           0.0314076          0.00134521
          19            0.041568           0.0319423           0.0013766
          20            0.033076            0.031999          0.00130894
