# RW_STEP = 28
# BLOCK:          PROG_MEAN:              ERROR:
       0             5.24276                   0
       1             5.33396           0.0912022
       2             5.39797           0.0828802
       3             5.35147           0.0748088
       4             5.35086           0.0579498
       5             5.39788           0.0667001
       6             5.38537           0.0577426
       7             5.37157            0.051877
       8             5.40505           0.0566987
       9             5.42812           0.0557121
      10             5.38123           0.0688368
      11             5.35953           0.0664783
      12             5.38374           0.0657675
      13              5.3536           0.0679403
      14             5.35703            0.063342
      15             5.36008           0.0593296
      16             5.36817           0.0563144
      17              5.3579           0.0540781
      18              5.3716           0.0529566
      19             5.37993           0.0509243
      20             5.37686           0.0485358
      21             5.36018           0.0491921
      22             5.36945           0.0479106
      23             5.37715           0.0465119
      24             5.37588           0.0446307
      25             5.38953           0.0450009
      26             5.37718           0.0450297
      27             5.36826           0.0442989
      28             5.35675           0.0442651
      29             5.35401           0.0428518
      30             5.35458           0.0414503
      31             5.35212           0.0402094
      32             5.36654           0.0415569
      33             5.35869           0.0410741
      34             5.35183           0.0404693
      35             5.34858           0.0394629
      36             5.35137           0.0384825
      37              5.3417           0.0386837
      38             5.33387            0.038484
      39             5.33982           0.0379788
      40             5.33523           0.0373244
      41             5.33566           0.0364274
      42             5.34554           0.0369194
      43             5.34415           0.0360974
      44              5.3388            0.035689
      45             5.33846           0.0349062
      46             5.33487           0.0343438
      47             5.33188           0.0337534
      48             5.33252           0.0330637
      49             5.33532           0.0325166
      50             5.32956           0.0323892
      51              5.3318           0.0318391
      52             5.33512           0.0314088
      53             5.33656           0.0308552
      54             5.33844           0.0303471
      55             5.34124           0.0299315
      56             5.33943           0.0294572
      57             5.34469           0.0294195
      58              5.3464            0.028967
      59             5.34605           0.0284824
      60             5.34776           0.0280637
      61             5.35171            0.027889
      62             5.35085           0.0274563
      63             5.35674           0.0276579
      64             5.35686           0.0272293
      65             5.35747           0.0268206
      66             5.35547            0.026493
      67             5.35197           0.0263332
      68             5.34907           0.0261111
      69             5.35303           0.0260385
      70             5.34917           0.0259579
      71             5.34808           0.0256178
      72             5.34804           0.0252645
      73             5.35423           0.0256764
      74             5.35916           0.0258076
      75             5.35699           0.0255578
      76             5.36226           0.0257667
      77             5.36507           0.0255897
      78             5.36234           0.0254107
      79             5.35862           0.0253663
      80             5.35859           0.0250512
      81             5.35735           0.0247748
      82             5.35951             0.02457
      83             5.35992           0.0242791
      84             5.36153           0.0240459
      85             5.35893           0.0239065
      86             5.35709           0.0237017
      87             5.36003           0.0236148
      88             5.35934            0.023358
      89             5.35849           0.0231127
      90             5.35927           0.0228707
      91             5.35788           0.0226638
      92             5.35427           0.0227067
      93             5.35051           0.0227761
      94             5.35256           0.0226276
      95              5.3509           0.0224519
      96             5.34769           0.0224495
      97              5.3534           0.0229402
      98             5.35133            0.022801
      99             5.34969           0.0226316
