# RW_STEP = 86
# BLOCK:          PROG_MEAN:              ERROR:
       0             8.83531                   0
       1             8.82011            0.015197
       2             8.93437             0.11459
       3             8.90201             0.08725
       4             9.06747            0.178732
       5             9.14245            0.164072
       6             9.23341            0.165835
       7             9.22641            0.143788
       8             9.27729            0.136637
       9             9.24067            0.127581
      10             9.22075            0.117107
      11             9.22947            0.107258
      12             9.26794            0.105898
      13             9.23451            0.103584
      14             9.24705           0.0972434
      15             9.26806           0.0933586
      16             9.24993           0.0895498
      17             9.24543           0.0845482
      18             9.24504           0.0799755
      19             9.25907           0.0771587
      20             9.26483           0.0736182
      21             9.24026           0.0743682
      22             9.24338           0.0711294
      23             9.24802           0.0682592
      24             9.26991           0.0690346
      25             9.27614            0.066618
      26             9.25645           0.0670589
      27             9.26285           0.0649356
      28             9.26926           0.0629841
      29             9.27334           0.0609847
      30             9.25115           0.0630203
      31             9.23395           0.0633974
      32             9.24203           0.0619759
      33             9.24108           0.0601329
      34              9.2434           0.0584358
      35             9.24581           0.0568403
      36             9.24116           0.0554777
      37             9.22854           0.0554543
      38             9.23064           0.0540547
      39              9.2248            0.053009
      40             9.22858           0.0518384
      41             9.22734           0.0506043
      42             9.24373           0.0520587
      43             9.23639           0.0513886
      44              9.2383           0.0502701
      45               9.241           0.0492392
      46              9.2403           0.0481852
      47             9.23477           0.0474938
      48              9.2399           0.0467967
      49             9.24649           0.0463212
      50             9.24465           0.0454408
      51             9.25696           0.0462277
      52             9.25806           0.0453603
      53             9.26677           0.0453568
      54             9.26184           0.0447961
      55             9.26201           0.0439893
      56             9.25752           0.0434432
      57             9.26428           0.0432192
      58              9.2796           0.0451582
      59              9.2763           0.0445212
      60             9.27674           0.0437875
      61             9.28128           0.0433134
      62             9.27659           0.0428772
      63             9.28004           0.0423423
      64               9.288           0.0424405
      65               9.297           0.0427497
      66             9.28833           0.0429896
      67             9.28711           0.0423703
      68             9.28522           0.0417942
      69             9.28945           0.0414092
      70             9.28379           0.0412119
      71             9.29011           0.0411232
      72             9.28725           0.0406564
      73             9.29577           0.0409975
      74             9.30127           0.0408191
      75             9.30121           0.0402784
      76             9.31036           0.0407905
      77             9.30934           0.0402771
      78             9.30266           0.0403203
      79             9.29603           0.0403616
      80             9.29972           0.0400306
      81             9.30844           0.0404897
      82             9.31247           0.0402014
      83             9.30404           0.0406055
      84             9.30943            0.040485
      85             9.30946           0.0400115
      86             9.30772           0.0395873
      87             9.31322           0.0395198
      88             9.31249           0.0390801
      89             9.31129           0.0386619
      90             9.31314           0.0382793
      91             9.31073           0.0379379
      92             9.30848           0.0375945
      93             9.30585           0.0372855
      94             9.30944           0.0370645
      95             9.30607           0.0368309
      96             9.30548            0.036454
      97             9.30651           0.0360948
      98             9.30896           0.0358124
      99             9.30841           0.0354568
