# RW_STEP = 95
# BLOCK:          PROG_MEAN:              ERROR:
       0             9.47122                   0
       1             9.40808           0.0631364
       2             9.50195            0.100705
       3             9.53433           0.0782233
       4             9.62557            0.109529
       5             9.72273            0.132047
       6             9.79966            0.135546
       7             9.78189            0.118723
       8             9.81624            0.110195
       9             9.77862            0.105497
      10             9.78417           0.0955868
      11             9.78082           0.0873227
      12             9.83743           0.0982718
      13             9.81226           0.0944008
      14             9.82656           0.0890381
      15             9.85478           0.0879388
      16             9.81931           0.0898975
      17             9.81351           0.0849545
      18             9.81568           0.0803881
      19             9.83146           0.0778791
      20             9.82673           0.0742287
      21             9.79485           0.0776227
      22             9.78784           0.0745016
      23             9.78977            0.071356
      24             9.80265           0.0696424
      25             9.80305           0.0669115
      26             9.77132           0.0717799
      27             9.76391           0.0695648
      28              9.7707           0.0674654
      29             9.78486           0.0666997
      30             9.75453           0.0712886
      31             9.73602           0.0714636
      32             9.74589           0.0699636
      33              9.7458           0.0678748
      34             9.74657           0.0659114
      35             9.74669           0.0640545
      36             9.75148           0.0624828
      37             9.73678           0.0625678
      38             9.74243           0.0612041
      39             9.74071           0.0596793
      40             9.74612           0.0584569
      41             9.74449           0.0570714
      42             9.75479           0.0566728
      43             9.74503           0.0562235
      44              9.7448           0.0549604
      45             9.74735           0.0538125
      46             9.74887           0.0526771
      47             9.74167           0.0520687
      48             9.74188           0.0509954
      49              9.7386            0.050073
      50             9.73367           0.0493275
      51             9.74862           0.0506266
      52             9.75021           0.0496876
      53             9.75965           0.0496655
      54             9.75402           0.0490781
      55             9.75496           0.0482027
      56             9.75365           0.0473675
      57             9.75876           0.0468229
      58             9.77345           0.0483102
      59             9.76972           0.0476445
      60             9.77142           0.0468878
      61             9.77218           0.0461317
      62             9.77183            0.045395
      63             9.77613           0.0448863
      64             9.78091           0.0444481
      65             9.78878            0.044472
      66             9.77906           0.0448696
      67             9.76976           0.0451728
      68             9.77179           0.0445598
      69             9.77575           0.0440965
      70             9.76717           0.0443101
      71             9.77415            0.044245
      72             9.76859           0.0439879
      73             9.77856           0.0445197
      74             9.78566           0.0444922
      75             9.78428           0.0439245
      76             9.79241           0.0441069
      77             9.79371           0.0435571
      78             9.78608            0.043674
      79             9.77999           0.0435524
      80             9.78186            0.043052
      81             9.78973           0.0432468
      82             9.78989           0.0427229
      83             9.78376           0.0426548
      84             9.78697           0.0422719
      85             9.78866           0.0418117
      86             9.78471           0.0415159
      87             9.78809           0.0411802
      88             9.78932           0.0407334
      89             9.78706           0.0403418
      90             9.78768            0.039901
      91              9.7869           0.0394726
      92             9.78789           0.0390583
      93             9.78694           0.0386522
      94              9.7905            0.038408
      95             9.78669           0.0381966
      96              9.7871            0.037803
      97             9.78996           0.0375242
      98             9.79347           0.0373086
      99             9.79216           0.0369566
