# RW_STEP = 79
# BLOCK:          PROG_MEAN:              ERROR:
       0             8.57928                   0
       1             8.52198           0.0573004
       2             8.57856           0.0655428
       3             8.55835           0.0505614
       4             8.66921            0.117577
       5             8.76424            0.135082
       6             8.83489            0.134255
       7             8.81776            0.117523
       8             8.87462            0.118218
       9             8.84963            0.108651
      10              8.8381            0.098953
      11             8.84456           0.0905623
      12             8.90047            0.100324
      13             8.86866           0.0981776
      14             8.88242           0.0924288
      15             8.91306           0.0917288
      16             8.89661           0.0877213
      17             8.88725           0.0832324
      18             8.88739           0.0787301
      19             8.90223           0.0761502
      20             8.89303           0.0730155
      21              8.8768           0.0714832
      22              8.8823           0.0685257
      23             8.89857           0.0675954
      24              8.9216            0.068804
      25             8.92219           0.0661074
      26             8.90977            0.064813
      27             8.91303           0.0625401
      28             8.91869           0.0606101
      29             8.91317           0.0588143
      30             8.88954           0.0615996
      31             8.87808           0.0607338
      32             8.88387           0.0591483
      33             8.88014            0.057503
      34             8.87403           0.0561696
      35             8.87696           0.0546657
      36             8.86984           0.0536429
      37             8.86212           0.0527792
      38             8.85805           0.0515691
      39             8.84914           0.0510468
      40             8.84884           0.0497871
      41             8.84394           0.0488341
      42             8.86152           0.0508245
      43             8.85273           0.0504287
      44             8.85441            0.049324
      45             8.85647           0.0482837
      46             8.85618           0.0472461
      47              8.8516            0.046477
      48             8.85344           0.0455557
      49             8.85789           0.0448568
      50             8.85682           0.0439816
      51             8.86792           0.0445336
      52             8.86761           0.0436864
      53             8.87443           0.0434088
      54             8.86933           0.0429172
      55             8.86943            0.042144
      56             8.86577           0.0415593
      57             8.87116           0.0411898
      58             8.88385           0.0424286
      59             8.88252           0.0417368
      60             8.88364           0.0410623
      61              8.8858           0.0404522
      62             8.88153            0.040033
      63             8.88438           0.0395048
      64             8.89064            0.039394
      65             8.89642           0.0392198
      66             8.89232           0.0388465
      67             8.89011           0.0383346
      68             8.88836           0.0378157
      69             8.89395           0.0376891
      70             8.89019           0.0373448
      71             8.89843           0.0377348
      72             8.89708           0.0372388
      73             8.90298           0.0372017
      74             8.90841           0.0371024
      75             8.90827           0.0366113
      76             8.92105           0.0383276
      77             8.91859           0.0379128
      78             8.91291           0.0378593
      79             8.90766           0.0377501
      80             8.91126           0.0374552
      81             8.91948           0.0378968
      82             8.92407           0.0377174
      83             8.91719           0.0378954
      84             8.92355           0.0379836
      85             8.92061           0.0376541
      86             8.92155           0.0372308
      87             8.92477           0.0369451
      88             8.92413           0.0365332
      89              8.9195           0.0364205
      90             8.92006           0.0360224
      91             8.91883           0.0356501
      92             8.91697           0.0353137
      93             8.91491           0.0349962
      94             8.91888           0.0348522
      95             8.91459           0.0347533
      96             8.91381           0.0344019
      97             8.91656           0.0341599
      98              8.9183           0.0338577
      99             8.91811            0.033518
