# RW_STEP = 24
# BLOCK:          PROG_MEAN:              ERROR:
       0             4.86623                   0
       1             4.91411           0.0478749
       2              4.9562           0.0503558
       3             4.99179           0.0503421
       4             4.99285           0.0390093
       5             5.01873           0.0410391
       6             5.00401           0.0376782
       7             4.99886           0.0330338
       8             5.04012           0.0505062
       9             5.03963           0.0451768
      10             4.99761           0.0586131
      11             4.96991            0.060249
      12             4.99317           0.0601012
      13             4.97231           0.0594237
      14             4.97468           0.0553712
      15             4.98313           0.0524792
      16             4.98673           0.0494273
      17             4.97808           0.0473961
      18             4.99373           0.0474839
      19             4.99992           0.0454712
      20              5.0017           0.0432884
      21             4.99705            0.041535
      22             4.99769           0.0396931
      23             5.01175           0.0405218
      24             5.01483           0.0389885
      25             5.02097             0.03796
      26             5.01471           0.0370606
      27             5.01265           0.0357716
      28             5.00527           0.0352959
      29              5.0039           0.0341266
      30             5.00419           0.0330086
      31             4.99867           0.0324331
      32             5.01075           0.0336758
      33             5.00451            0.033261
      34             5.00033           0.0325664
      35             4.99722           0.0318014
      36             4.99643           0.0309398
      37             4.98715           0.0315134
      38             4.98258           0.0310333
      39             4.98844           0.0308103
      40             4.98234           0.0306632
      41             4.98034           0.0299908
      42             4.99168           0.0314028
      43             4.98906           0.0307921
      44             4.98325           0.0306561
      45             4.97756            0.030517
      46             4.97386           0.0300891
      47             4.97204           0.0295119
      48             4.97008           0.0289696
      49             4.97234           0.0284745
      50             4.96653           0.0285097
      51             4.96539           0.0279792
      52             4.96725           0.0275087
      53             4.96905           0.0270544
      54              4.9695           0.0265618
      55             4.97164           0.0261707
      56             4.96996           0.0257621
      57             4.97538           0.0258884
      58             4.97972           0.0258134
      59             4.97788           0.0254465
      60             4.97835           0.0250303
      61             4.98153            0.024827
      62             4.97972           0.0244962
      63              4.9839           0.0244703
      64             4.98729           0.0243273
      65             4.98774           0.0239602
      66             4.98992           0.0237003
      67             4.98581            0.023708
      68             4.98512           0.0233723
      69             4.98814           0.0232333
      70             4.98649           0.0229629
      71              4.9866           0.0226419
      72             4.98846           0.0224073
      73             4.99281           0.0225259
      74             4.99537           0.0223705
      75             4.99292           0.0222093
      76             5.00031           0.0231298
      77             5.00244           0.0229307
      78             5.00022           0.0227471
      79             4.99649           0.0227685
      80             4.99584           0.0224951
      81             4.99543           0.0222227
      82             4.99725           0.0220287
      83             4.99436           0.0219564
      84             4.99629           0.0217821
      85             4.99287           0.0217971
      86             4.98958           0.0217947
      87             4.99339           0.0218793
      88             4.99233           0.0216578
      89             4.99054           0.0214904
      90             4.98968           0.0212704
      91             4.98915           0.0210446
      92             4.98561            0.021116
      93             4.98083           0.0214317
      94             4.98336           0.0213561
      95             4.98393           0.0211402
      96             4.98212           0.0209993
      97             4.98767           0.0215112
      98             4.98661            0.021319
      99             4.98568           0.0211255
