# RW_STEP = 31
# BLOCK:          PROG_MEAN:              ERROR:
       0             5.51105                   0
       1             5.64126            0.130206
       2             5.67782           0.0835946
       3             5.63082           0.0755162
       4             5.63898           0.0590607
       5             5.67727           0.0615763
       6             5.65321           0.0573339
       7             5.63499           0.0528915
       8             5.68076           0.0653495
       9             5.71656           0.0685426
      10             5.68061           0.0716645
      11             5.65387           0.0706741
      12             5.68343           0.0714135
      13             5.66257           0.0693274
      14             5.67304           0.0653829
      15             5.67669            0.061269
      16             5.68649           0.0583807
      17             5.66753           0.0582164
      18             5.67759           0.0559789
      19             5.69314           0.0553352
      20             5.69083           0.0526849
      21             5.67878           0.0516569
      22              5.6821            0.049471
      23               5.682            0.047365
      24             5.68466            0.045509
      25             5.70238           0.0471776
      26             5.68919           0.0472751
      27             5.67763           0.0469973
      28             5.65971            0.048763
      29             5.65419           0.0474313
      30             5.64715           0.0464124
      31             5.64554           0.0449677
      32             5.65909           0.0456427
      33             5.64921           0.0453698
      34             5.64267           0.0445363
      35             5.63804           0.0435291
      36              5.6447           0.0428581
      37             5.63557           0.0427026
      38             5.62742           0.0423843
      39             5.63396           0.0418248
      40             5.62587           0.0415852
      41             5.62089           0.0408875
      42             5.62916           0.0407716
      43             5.63112           0.0398826
      44             5.62435           0.0395702
      45             5.62555            0.038719
      46             5.62462           0.0378976
      47             5.61899           0.0375251
      48             5.61748           0.0367821
      49             5.61912           0.0360764
      50             5.61378            0.035763
      51             5.61741           0.0352553
      52             5.61528           0.0346491
      53             5.61792            0.034104
      54             5.62159           0.0336787
      55             5.62221           0.0330776
      56             5.61798           0.0327675
      57             5.62204           0.0324537
      58             5.62674           0.0322428
      59             5.62574           0.0317167
      60             5.62613           0.0311948
      61             5.63134           0.0311271
      62              5.6293            0.030697
      63             5.63464            0.030681
      64             5.63728           0.0303211
      65             5.63857           0.0298857
      66             5.63644           0.0295126
      67             5.63265           0.0293225
      68             5.63016           0.0290009
      69             5.63392             0.02883
      70             5.63139           0.0285337
      71             5.62976           0.0281816
      72             5.63085            0.027814
      73             5.63628           0.0279689
      74             5.64148           0.0280775
      75             5.63812           0.0279083
      76             5.64387           0.0281371
      77             5.64584           0.0278438
      78             5.64234            0.027711
      79             5.63639           0.0280019
      80             5.63742           0.0276733
      81              5.6363           0.0273564
      82             5.63808           0.0270834
      83             5.63641           0.0268116
      84             5.63732             0.02651
      85             5.63438           0.0263643
      86             5.63098           0.0262809
      87             5.63502           0.0262929
      88             5.63366           0.0260312
      89             5.63316           0.0257451
      90             5.63277           0.0254636
      91             5.63224            0.025191
      92             5.62831           0.0252261
      93             5.62478           0.0252048
      94             5.62663           0.0250069
      95             5.62549           0.0247716
      96             5.62235           0.0247143
      97             5.63018            0.025681
      98               5.627            0.025618
      99             5.62471           0.0254636
