# RW_STEP = 42
# BLOCK:          PROG_MEAN:              ERROR:
       0             6.55361                   0
       1              6.5722           0.0185883
       2             6.58852           0.0195339
       3             6.51183           0.0779248
       4             6.55449           0.0739111
       5             6.63177           0.0980514
       6             6.61842           0.0839376
       7             6.57425           0.0850556
       8             6.60125           0.0797211
       9              6.6352           0.0789744
      10             6.57227           0.0952012
      11              6.5701           0.0869333
      12             6.59057           0.0825445
      13             6.57037           0.0790463
      14              6.6147           0.0859111
      15             6.61576           0.0803694
      16             6.60761           0.0759327
      17             6.59194           0.0732849
      18              6.5918           0.0693207
      19              6.6069           0.0674744
      20                 6.6           0.0645512
      21             6.58589           0.0631436
      22             6.58766           0.0603619
      23             6.58437           0.0578859
      24             6.59111           0.0559297
      25             6.61185           0.0575984
      26             6.60012           0.0566521
      27             6.59552           0.0547841
      28              6.5796           0.0552072
      29             6.56892           0.0543938
      30              6.5573           0.0538779
      31             6.55081           0.0525697
      32             6.56498           0.0528871
      33             6.55206           0.0529111
      34             6.54681           0.0516449
      35             6.55015           0.0503013
      36             6.54927            0.048931
      37             6.54507           0.0478105
      38             6.54539           0.0465696
      39             6.54587            0.045393
      40             6.54798           0.0443225
      41             6.55224           0.0434631
      42             6.56378           0.0439814
      43             6.56311           0.0429754
      44             6.55141           0.0436105
      45             6.55442           0.0427581
      46             6.55098           0.0419792
      47              6.5461           0.0413841
      48             6.54476           0.0405528
      49             6.54579           0.0397467
      50              6.5447           0.0389748
      51             6.54516           0.0382207
      52             6.54282           0.0375659
      53             6.54312           0.0368649
      54             6.54406           0.0362008
      55             6.54451           0.0355512
      56             6.54085           0.0351135
      57             6.54562           0.0348313
      58             6.54939           0.0344432
      59             6.54955           0.0338646
      60             6.55022           0.0333117
      61             6.55243           0.0328445
      62             6.55134           0.0323373
      63             6.55272           0.0318577
      64              6.5535           0.0313736
      65             6.55512            0.030937
      66             6.55128           0.0307131
      67             6.55067           0.0302642
      68              6.5475           0.0299902
      69             6.55191           0.0298858
      70             6.55101           0.0294757
      71             6.55058           0.0290666
      72             6.55104           0.0286694
      73             6.55253           0.0283183
      74             6.55604           0.0281581
      75             6.55546           0.0277912
      76             6.55831           0.0275763
      77             6.55845           0.0272207
      78              6.5564           0.0269519
      79             6.55031           0.0273017
      80             6.55658           0.0276838
      81             6.55725           0.0273521
      82             6.55598           0.0270502
      83             6.55385           0.0268108
      84             6.55482           0.0265112
      85             6.55028           0.0265919
      86             6.54894           0.0263187
      87             6.55209           0.0262079
      88             6.54618            0.026576
      89             6.54499           0.0263062
      90             6.54443           0.0260215
      91             6.54236           0.0258204
      92             6.54049           0.0256096
      93             6.53799           0.0254589
      94              6.5423           0.0255566
      95             6.54001           0.0253931
      96             6.53712           0.0252952
      97             6.54389           0.0259357
      98             6.54324           0.0256807
      99             6.54519           0.0254974
