#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
                 1.5            0.427542            0.548214         -0.00923402          0.00137213            0.973333            0.706269
               1.425           0.0831138            0.828864           -0.150442          0.00332758                0.96            0.788522
             1.35375           -0.878739            0.607113           -0.417101          0.00827825                0.96             0.40126
             1.28606           -0.935119            0.553238           -0.329121          0.00656075                 0.6             1.32192
             1.22176          -0.0954433             1.17084           -0.103332          0.00336265                0.88            -1.24746
             1.16067           -0.850353            0.903543         -0.00859434          0.00388866            0.973333           -0.296995
             1.10264           -0.801916            0.379872            0.486564           0.0100812            0.813333             1.41917
             1.04751           -0.159822              1.4718            0.943541           0.0205867                   1           -0.672742
            0.995131           -0.841963             1.22682            0.992481           0.0216307            0.946667            -2.24695
            0.945374            -0.57397             1.27088            0.588332           0.0147289                0.72            0.637258
            0.898105           -0.457233             1.08454          -0.0558574          0.00404499            0.853333            0.330885
              0.8532          -0.0187547            0.828586           -0.145622          0.00321102                0.84           -0.357336
             0.81054            0.485332             1.17741           0.0735883          0.00426877            0.853333            -1.01974
            0.770013            0.392973            0.795331           -0.219273          0.00450726                0.96            -1.04892
            0.731512            0.316754             0.66843           -0.025062          0.00153046            0.586667            0.555619
            0.694937            0.926804            0.919087           -0.019048          0.00136436                0.76             1.11145
             0.66019            0.544968            0.721625           -0.285906          0.00572084            0.986667            0.383882
            0.627181          -0.0810292             1.18292           -0.135987          0.00411752            0.893333            -1.92637
            0.595821           -0.734563            0.678598           -0.411457          0.00820155            0.853333            -1.40717
             0.56603           -0.409976             1.21965           -0.410822          0.00816342            0.586667              1.4154
            0.537729           -0.511107            0.537331           -0.145501          0.00309561                0.96            0.569735
            0.510842           -0.117044             1.17421          -0.0783224          0.00406572            0.813333            -2.50328
              0.4853            0.625961             1.02628           -0.101783          0.00338492            0.906667          -0.0257406
            0.461035            0.827579            0.624471           -0.439402          0.00871909            0.506667            0.680774
            0.437984            0.750198            0.404786           -0.444416          0.00881482            0.626667            0.186544
            0.416084            0.529975            0.609401           -0.221629          0.00447962            0.826667            0.201583
             0.39528           0.0265899            0.910038            -0.23404          0.00479002            0.746667           -0.665959
            0.375516          -0.0516305             1.21397           -0.213507          0.00437756                0.88           -0.581467
             0.35674           -0.471642             1.29881            0.431738           0.0111563            0.973333           -0.258353
            0.338903           -0.788691             0.75575           -0.346869          0.00704745            0.946667           0.0747121
            0.321958            -1.11114            0.611445          -0.0375402           0.0017704            0.493333            0.690048
             0.30586           -0.359774            0.979485           -0.249797          0.00516719            0.986667             0.34033
            0.290567           -0.294946             1.31373           -0.223804          0.00577323                0.72           -0.625552
            0.276039           -0.333002             1.39017            0.390544           0.0108879            0.826667            0.147572
