#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
           5             5.32088         0.000402415           0.0159968          0.00718778
           5              5.6085                   0          0.00450061          0.00214609
           5             5.89612                   0          0.00524749          0.00290296
           5             6.18373                   0          0.00177706         0.000658846
           5             6.47135                   0         0.000502214         0.000449194
           5             6.75896                   0          0.00180282          0.00161249
           5             7.04658                   0                   0                   0
           5             7.33419                   0                   0                   0
           5             7.62181                   0                   0                   0
           5             7.90942                   0                   0                   0
           5             8.19704                   0                   0                   0
           5             8.48465                   0                   0                   0


           6            0.143808           0.0140362          0.00903287          0.00284821
           6            0.431423           0.0722576           0.0443595          0.00771658
           6            0.719038             0.19757            0.147056           0.0150412
           6             1.00665            0.159067            0.210122            0.014952
           6             1.29427            0.262246            0.355673           0.0174805
           6             1.58188             0.36763            0.409079           0.0323461
           6              1.8695            0.439212             0.42058            0.018497
           6             2.15712            0.391518            0.358903            0.020542
           6             2.44473             0.34994            0.367126           0.0197508
           6             2.73235            0.335888            0.288188           0.0122338
           6             3.01996            0.321948            0.265296           0.0176406
           6             3.30758            0.194672            0.190927           0.0079337
           6             3.59519            0.177401             0.14517            0.014321
           6             3.88281           0.0541651           0.0941141           0.0099041
           6             4.17042           0.0289417           0.0500416          0.00659622
           6             4.45804           0.0625031           0.0411912          0.00986282
           6             4.74565           0.0201851           0.0374031          0.00866836
           6             5.03327           0.0255936           0.0173977          0.00408449
           6             5.32088         0.000498995           0.0134138          0.00643721
           6              5.6085         0.000498995          0.00383367           0.0018892
           6             5.89612          0.00109457          0.00455534          0.00250029
           6             6.18373                   0          0.00148089            0.000612
           6             6.47135                   0         0.000418512         0.000382047
           6             6.75896                   0          0.00150235          0.00137145
           6             7.04658                   0                   0                   0
           6             7.33419                   0                   0                   0
           6             7.62181                   0                   0                   0
           6             7.90942                   0                   0                   0
           6             8.19704                   0                   0                   0
           6             8.48465                   0                   0                   0


           7            0.143808           0.0109135          0.00930153          0.00245396
           7            0.431423           0.0474367           0.0447991          0.00662672
           7            0.719038            0.162865            0.149314           0.0130609
           7             1.00665            0.165972            0.203815           0.0140836
           7             1.29427            0.285377            0.345631           0.0176335
           7             1.58188            0.434383            0.412694           0.0279264
           7              1.8695             0.37122            0.413529           0.0171461
           7             2.15712            0.348749            0.357453           0.0176585
           7             2.44473            0.337401            0.362879           0.0173797
           7             2.73235            0.363654            0.298969            0.014477
           7             3.01996            0.454439            0.292317           0.0292307
           7             3.30758            0.203558            0.192731          0.00700249
           7             3.59519            0.137803            0.144117           0.0123137
           7             3.88281           0.0409337           0.0865169           0.0110245
           7             4.17042           0.0221972           0.0460639          0.00674751
           7             4.45804           0.0174165           0.0377948           0.0090197
           7             4.74565           0.0366359           0.0372935          0.00743071
           7             5.03327           0.0300363           0.0192032          0.00387958
           7             5.32088          0.00587526           0.0123369          0.00560697
           7              5.6085                   0          0.00328601          0.00169684
           7             5.89612                   0          0.00390457          0.00222618
           7             6.18373                   0          0.00126933         0.000559944
           7             6.47135                   0         0.000358724         0.000332114
           7             6.75896                   0          0.00128773           0.0011922
           7             7.04658                   0                   0                   0
           7             7.33419                   0                   0                   0
           7             7.62181                   0                   0                   0
           7             7.90942                   0                   0                   0
           7             8.19704                   0                   0                   0
           7             8.48465                   0                   0                   0


           8            0.143808           0.0132314          0.00979277          0.00219584
           8            0.431423           0.0605715           0.0467707           0.0060846
           8            0.719038            0.153755            0.149869           0.0114401
           8             1.00665            0.138221            0.195616           0.0145149
           8             1.29427            0.252379            0.333974           0.0188932
           8             1.58188            0.478697            0.420944           0.0256254
           8              1.8695             0.36528            0.407497           0.0160284
           8             2.15712            0.335357            0.354691           0.0156657
           8             2.44473            0.392805             0.36662           0.0156047
           8             2.73235            0.360161            0.306618           0.0145484
           8             3.01996            0.351582            0.299725            0.026499
           8             3.30758            0.231759             0.19761          0.00763979
           8             3.59519             0.15134             0.14502           0.0108075
           8             3.88281           0.0609095            0.083316           0.0101004
           8             4.17042            0.048821           0.0464085          0.00591287
           8             4.45804           0.0423823           0.0383683          0.00791044
           8             4.74565          0.00505433           0.0332636          0.00751561
           8             5.03327           0.0220684           0.0195614          0.00341112
           8             5.32088            0.012491           0.0123562          0.00490613
           8              5.6085                   0          0.00287525          0.00153364
           8             5.89612                   0           0.0034165           0.0020007
           8             6.18373                   0          0.00111067         0.000511938
           8             6.47135                   0         0.000313884         0.000293611
           8             6.75896                   0          0.00112676          0.00105399
           8             7.04658                   0                   0                   0
           8             7.33419                   0                   0                   0
           8             7.62181                   0                   0                   0
           8             7.90942                   0                   0                   0
           8             8.19704                   0                   0                   0
           8             8.48465                   0                   0                   0


           9            0.143808          0.00312274          0.00905165          0.00207315
           9            0.431423           0.0607164           0.0483202          0.00560236
           9            0.719038            0.124588             0.14706           0.0105082
           9             1.00665            0.130576            0.188389           0.0145907
           9             1.29427            0.287711            0.328834           0.0174793
           9             1.58188            0.443155            0.423412           0.0228967
           9              1.8695            0.388942            0.405436           0.0143795
