#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
         152            -5.51713             -5.7527           0.0140312
         153            -5.48015            -5.75092           0.0140521
         154            -5.36581            -5.74842           0.0141816
         155             -5.4391            -5.74642           0.0142298
         156            -5.52972            -5.74503           0.0142062
         157            -5.63766            -5.74435           0.0141322
         158            -5.63743            -5.74367            0.014059
         159            -5.68131            -5.74328            0.013976
         160            -5.63437             -5.7426           0.0139052
         161            -5.61259            -5.74179           0.0138423
         162            -5.66498            -5.74132            0.013765
         163            -5.63047            -5.74064           0.0136973
         164            -5.64711            -5.74007           0.0136256
         165            -5.62121            -5.73935           0.0135621
         166            -5.66404             -5.7389            0.013488
         167            -5.67393            -5.73851           0.0134128
         168            -5.67316            -5.73812           0.0133386
         169             -5.5295            -5.73688           0.0133167
         170            -5.48954            -5.73543           0.0133176
         171            -5.58486            -5.73455           0.0132688
         172            -5.58094            -5.73365           0.0132217
         173            -5.50673            -5.73234           0.0132102
         174            -5.48676            -5.73093           0.0132094
         175             -5.4625             -5.7294           0.0132227
         176            -5.54218            -5.72833           0.0131903
         177            -5.55959            -5.72738           0.0131502
         178            -5.56284            -5.72646           0.0131087
         179            -5.38662            -5.72456           0.0131723
         180            -5.37312             -5.7226            0.013243
         181            -5.38914            -5.72076           0.0132974
         182            -5.44147            -5.71923           0.0133126
         183            -5.49293            -5.71799           0.0132971
         184            -5.62114            -5.71746           0.0132353
         185            -5.66807             -5.7172           0.0131664
         186            -5.52974            -5.71619           0.0131342
         187              -5.487            -5.71496            0.013121
         188            -5.53766            -5.71402            0.013085
         189            -5.52267            -5.71301           0.0130549
         190            -5.46464             -5.7117           0.0130515
         191            -5.49814            -5.71058            0.013031
         192            -5.47696            -5.70937           0.0130198
         193            -5.59243            -5.70876           0.0129664
         194            -5.49078            -5.70764           0.0129481
         195            -5.45525            -5.70634           0.0129463
         196            -5.50254             -5.7053           0.0129219
         197            -5.41645            -5.70384           0.0129392
         198            -5.44731            -5.70254           0.0129386
         199            -5.48644            -5.70146           0.0129191
         200            -5.47091             -5.7003           0.0129058
         201            -5.48301            -5.69922           0.0128868
         202            -5.44033            -5.69794           0.0128866
         203            -5.50175            -5.69697           0.0128593
         204            -5.34646            -5.69526           0.0129105
         205            -5.43263            -5.69397           0.0129109
         206            -5.37827            -5.69244           0.0129389
         207            -5.39204            -5.69099           0.0129575
         208            -5.40787            -5.68963           0.0129665
         209            -5.34448            -5.68798           0.0130092
         210            -5.30119            -5.68614            0.013077
         211            -5.30705            -5.68434           0.0131379
         212            -5.31413            -5.68259           0.0131914
         213            -5.31318            -5.68086            0.013243
         214            -5.35539            -5.67934           0.0132682
         215            -5.44658            -5.67826           0.0132506
         216            -5.52782            -5.67756           0.0132075
         217            -5.55017            -5.67697           0.0131597
         218            -5.61101            -5.67667           0.0131028
         219            -5.58185            -5.67624           0.0130501
         220            -5.59917            -5.67589           0.0129955
         221            -5.55831            -5.67535           0.0129476
         222            -5.49405            -5.67454            0.012915
         223            -5.46359            -5.67359           0.0128917
         224            -5.45192             -5.6726           0.0128721
         225            -5.50457            -5.67185           0.0128365
         226            -5.45953            -5.67092            0.012814
         227            -5.42549            -5.66983           0.0128031
         228            -5.31245            -5.66827           0.0128425
         229            -5.25572            -5.66647           0.0129122
         230            -5.23264            -5.66458           0.0129931
         231            -5.30408            -5.66302           0.0130302
         232            -5.33355             -5.6616           0.0130512
         233            -5.41519            -5.66054            0.013038
         234             -5.4546            -5.65966           0.0130119
         235            -5.48316            -5.65891           0.0129782
         236            -5.42241            -5.65791           0.0129619
         237             -5.4512            -5.65704           0.0129365
         238            -5.48378            -5.65631           0.0129026
         239             -5.4394             -5.6554           0.0128805
         240            -5.44493            -5.65452           0.0128566
         241            -5.44915            -5.65367           0.0128315
         242            -5.41157            -5.65267           0.0128174
         243            -5.46266            -5.65189           0.0127885
         244            -5.45795            -5.65109           0.0127608
         245              -5.408             -5.6501           0.0127472
         246            -5.41272            -5.64914           0.0127319
         247            -5.54428            -5.64871           0.0126874
         248            -5.53637            -5.64826           0.0126443
         249            -5.49006            -5.64762           0.0126095
         250            -5.44385            -5.64681           0.0125854
         251            -5.43448            -5.64596           0.0125636
         252            -5.29506            -5.64457           0.0125907
         253            -5.37321             -5.6435           0.0125865
         254            -5.40629            -5.64256           0.0125716
         255            -5.51744            -5.64207           0.0125319
         256             -5.4996            -5.64152           0.0124953
         257             -5.4695            -5.64085           0.0124645
         258            -5.44259            -5.64008           0.0124399
         259            -5.48568            -5.63948           0.0124061
         260            -5.52208            -5.63903           0.0123666
         261            -5.47932            -5.63842           0.0123344
         262            -5.50406            -5.63791            0.012298
         263            -5.62319            -5.63785           0.0122513
         264            -5.58549            -5.63765           0.0122065
         265            -5.56672            -5.63738           0.0121634
         266            -5.43404            -5.63662           0.0121417
         267            -5.47627            -5.63602            0.012111
         268            -5.47635            -5.63542           0.0120805
         269            -5.46907             -5.6348           0.0120514
         270            -5.44233            -5.63409           0.0120278
         271            -5.49193            -5.63357           0.0119949
         272            -5.46704            -5.63296           0.0119664
         273            -5.41519            -5.63216           0.0119491
         274            -5.45773            -5.63152           0.0119225
         275            -5.56302            -5.63127           0.0118817
         276            -5.49728            -5.63079           0.0118486
         277            -5.37161            -5.62985           0.0118427
         278            -5.32679            -5.62876           0.0118502
         279            -5.43866            -5.62808           0.0118273
         280            -5.42493            -5.62735           0.0118073
         281            -5.46569            -5.62678           0.0117792
         282            -5.50372            -5.62634           0.0117456
         283            -5.49625            -5.62588            0.011713
         284            -5.33058            -5.62484           0.0117179
         285            -5.39167            -5.62402           0.0117053
         286            -5.45777            -5.62344           0.0116788
         287            -5.57217            -5.62326           0.0116394
         288            -5.55136            -5.62301           0.0116017
         289            -5.46172            -5.62246            0.011575
         290            -5.44226            -5.62184           0.0115517
         291            -5.51737            -5.62148           0.0115176
         292            -5.53523            -5.62118           0.0114819
         293              -5.402            -5.62043           0.0114671
         294            -5.50055            -5.62003           0.0114353
         295            -5.42673            -5.61937           0.0114153
         296            -5.59642            -5.61929            0.011377
         297            -5.60668            -5.61925           0.0113388
         298            -5.55045            -5.61902           0.0113031
         299            -5.58184            -5.61889            0.011266
         300            -5.49384            -5.61848           0.0112361
         301            -5.42595            -5.61784            0.011217
         302            -5.44767            -5.61727            0.011194
         303            -5.47043            -5.61679           0.0111676
         304             -5.4318            -5.61618           0.0111474
         305             -5.5368            -5.61592           0.0111139
         306            -5.46475            -5.61543           0.0110885
         307            -5.46934            -5.61495           0.0110626
         308            -5.49425            -5.61456           0.0110336
         309            -5.41315            -5.61391           0.0110172
         310            -5.50613            -5.61356           0.0109871
         311            -5.56275             -5.6134            0.010953
         312             -5.5108            -5.61307           0.0109228
         313            -5.51323            -5.61275           0.0108926
         314            -5.62812             -5.6128            0.010858
         315            -5.62677            -5.61284           0.0108236
         316            -5.53423            -5.61259           0.0107922
         317            -5.51528            -5.61229           0.0107626
         318            -5.51492            -5.61198           0.0107331
         319            -5.55296             -5.6118            0.010701
         320            -5.57055            -5.61167           0.0106683
         321            -5.52263            -5.61139           0.0106387
         322            -5.52638            -5.61112            0.010609
         323            -5.57385            -5.61101           0.0105767
         324             -5.5844            -5.61093           0.0105444
         325            -5.63454              -5.611           0.0105122
         326            -5.65418            -5.61113           0.0104808
         327            -5.57687            -5.61103           0.0104493
         328            -5.59251            -5.61097           0.0104176
         329            -5.65654            -5.61111           0.0103868
         330            -5.51436            -5.61082           0.0103595
         331             -5.4944            -5.61046           0.0103342
         332            -5.44017            -5.60995           0.0103158
         333            -5.47664            -5.60955           0.0102925
         334            -5.57177            -5.60944           0.0102623
         335            -5.59276            -5.60939           0.0102318
