#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
         173             7.54524              7.4627           0.0664201
         174             7.88662             7.46514           0.0660831
         175             8.33535             7.47011           0.0658923
         176             7.77532             7.47184           0.0655407
         177             7.74432             7.47338           0.0651885
         178             7.16546             7.47165           0.0648452
         179             7.38143             7.47115           0.0644849
         180             7.25638             7.46996           0.0641377
         181             7.60615             7.47071           0.0637878
         182             7.71935             7.47208           0.0634519
         183             8.25578             7.47636           0.0632495
         184             7.64371             7.47727           0.0629123
         185             7.41321             7.47692           0.0625732
         186             8.27327              7.4812           0.0623831
         187             8.10212             7.48452           0.0621378
         188             7.87322             7.48659           0.0618417
         189             7.68022             7.48761            0.061523
         190             7.73975             7.48894           0.0612135
         191             7.62622             7.48966           0.0608972
         192             8.04793             7.49257           0.0606494
         193             7.41362             7.49216           0.0603365
         194             7.94367             7.49449           0.0600704
         195             8.36249             7.49894            0.059927
         196             8.32208             7.50314           0.0597682
         197             8.17908             7.50657           0.0595633
         198              8.2641             7.51039           0.0593852
         199             8.31815             7.51445           0.0592253
         200             8.21979             7.51798           0.0590341
         201             8.00177             7.52039           0.0587895
         202             7.42742             7.51993           0.0585002
         203               7.811             7.52136           0.0582296
         204             8.27928             7.52508           0.0580626
         205             7.96069              7.5272           0.0578182
         206             8.05632             7.52977           0.0575946
         207             7.94026             7.53175           0.0573505
         208             8.13183             7.53464           0.0571473
         209             8.02539             7.53699            0.056922
         210             8.04656             7.53941           0.0567027
         211             7.93806              7.5413           0.0564654
         212              7.7925             7.54249           0.0562115
         213             7.57484             7.54264           0.0559478
         214             7.65096             7.54314           0.0556887
         215             7.44793              7.5427           0.0554314
         216             7.05302             7.54043           0.0552211
         217             7.18008             7.53877           0.0549916
         218             7.51502             7.53867           0.0547395
         219             7.56323             7.53878           0.0544896
         220             7.36297             7.53798           0.0542478
         221             7.44106             7.53754           0.0540041
         222             7.71395             7.53833           0.0537667
         223             8.18082             7.54122           0.0536027
         224             7.76983             7.54224           0.0533731
         225              7.6798             7.54285           0.0531394
         226             8.08645             7.54525           0.0529587
         227             8.02471             7.54736           0.0527675
         228             8.29541             7.55065            0.052638
         229             9.01619             7.55705           0.0527957
         230             9.03108             7.56345           0.0529537
         231             8.94076             7.56942           0.0530591
         232             8.51933             7.57351           0.0529881
         233             8.48472             7.57742           0.0529048
         234              8.5323              7.5815           0.0528359
         235              8.3227             7.58466           0.0527051
         236              7.7459             7.58534           0.0524862
         237             7.81628             7.58631           0.0522738
         238              7.6114             7.58642           0.0520543
         239             7.89489             7.58771           0.0518525
         240             8.31901             7.59076           0.0517259
         241             8.45965             7.59436           0.0516367
         242             8.11101              7.5965           0.0514675
         243             7.76222             7.59718           0.0512602
         244             7.90133             7.59843           0.0510653
         245             7.64562             7.59862           0.0508572
         246              7.6811             7.59895           0.0506516
         247             7.54475             7.59873            0.050447
         248             7.67831             7.59906           0.0502446
         249             7.79572             7.59985            0.050049
         250             8.07135             7.60173           0.0498843
         251             8.41544             7.60497           0.0497908
         252             9.11793             7.61098           0.0499539
         253              8.9453             7.61625           0.0500341
         254              8.5166              7.6198           0.0499625
         255             8.11587             7.62174           0.0498044
         256             8.59812             7.62556           0.0497557
         257              8.5794             7.62927           0.0497003
         258             8.49538             7.63262           0.0496209
         259             8.85654             7.63735           0.0496539
         260             7.93689              7.6385           0.0494762
         261             8.00753             7.63992           0.0493069
         262             7.68979             7.64011           0.0491191
         263             7.72601             7.64043           0.0489334
         264             7.75987             7.64088           0.0487501
         265             7.34971             7.63979           0.0485785
         266             7.78522             7.64033            0.048399
         267             7.76869             7.64081           0.0482201
         268             7.75029             7.64122           0.0480419
         269             8.31508             7.64373           0.0479286
         270             7.38736             7.64278           0.0477605
         271             7.62966             7.64273           0.0475843
         272             7.45058             7.64202           0.0474146
         273             7.66852             7.64212            0.047241
         274             7.69239              7.6423           0.0470689
         275             7.88201             7.64317           0.0469058
         276             7.78374             7.64368           0.0467386
         277             8.56153               7.647           0.0466872
         278             8.18422             7.64893           0.0465593
         279             7.98858             7.65015           0.0464083
         280             8.03213             7.65151           0.0462626
         281             7.42423              7.6507            0.046105
         282             7.55856             7.65038           0.0459427
         283             7.49378             7.64982           0.0457837
         284             8.05589             7.65125           0.0456448
         285             8.05548             7.65267           0.0455067
         286             7.79764             7.65318           0.0453504
         287             7.45239             7.65248           0.0451978
         288             7.37905             7.65153           0.0450508
         289             7.32864             7.65041           0.0449088
         290             7.20882             7.64889           0.0447797
         291             7.31652             7.64775           0.0446404
         292             7.26587             7.64644           0.0445067
         293             7.76213             7.64683           0.0443565
         294             7.80271             7.64736           0.0442088
         295             7.74723              7.6477           0.0440602
         296             7.44466             7.64702           0.0439167
         297             7.47032             7.64642           0.0437729
         298              7.5134             7.64597           0.0436283
         299             7.72241             7.64623           0.0434831
         300             7.64793             7.64624           0.0433382
         301             7.53171             7.64586           0.0431959
         302             7.69359             7.64601           0.0430531
         303             7.40754             7.64523           0.0429182
         304             7.58289             7.64502           0.0427775
         305             7.59482             7.64486           0.0426376
         306             7.49646             7.64437            0.042501
         307             7.56632             7.64412           0.0423633
         308             7.36066              7.6432           0.0422358
         309             7.41174             7.64245           0.0421057
         310             7.46263             7.64187           0.0419739
         311             7.66669             7.64195            0.041839
         312             7.74104             7.64227           0.0417061
         313             7.85757             7.64295           0.0415786
         314             7.43368             7.64229           0.0414515
         315             7.73655             7.64259            0.041321
         316             7.76461             7.64297            0.041192
         317             7.46112              7.6424           0.0410661
         318             7.57317             7.64218           0.0409375
         319              7.1658             7.64069           0.0408364
         320             7.16291             7.63919           0.0407361
         321             7.27434             7.63806            0.040625
