# GENERATION:    START CITY:        CITY 2:        CITY 3:        CITY 4:        CITY 5:        CITY 6:        CITY 7:        CITY 8:        CITY 9:       CITY 10:       CITY 11:       CITY 12:       CITY 13:       CITY 14:       CITY 15:       CITY 16:       CITY 17:       CITY 18:       CITY 19:       CITY 20:       CITY 21:       CITY 22:       CITY 23:       CITY 24:       CITY 25:       CITY 26:       CITY 27:       CITY 28:       CITY 29:       CITY 30:       CITY 31:       CITY 32:       CITY 33:       CITY 34:     LAST CITY:
           41              1              6             23              7             20              9             11             34             16             29             27             28             18             24             15             14              2             12             25             31              5             32              8             17             13              3             21             22              4             30             19             10             33             26              1
           42              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14              2             12             13             17              8             25             31             32              5              3             22              4             30             19             10             21             33             26              1
           43              1              6             23              7             20              9             11             34             16             29             27             28             18             24             15             14             21              2             12             25             31              5             32              8             17             13              3             22              4             30             19             10             33             26              1
           44              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             13             17              8             32             25             31              5              3             33             10             19             30              4             22             12             26              1
           45              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             13             17              8             32             25             31              5              3             33             10             19             30              4             22             12             26              1
           46              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             25             31              5             32              8             17             13              3             22              4             30             19             10             33             26              1
           47              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             25             31              5             32              8             17             13              3             22              4             30             19             10             33             26              1
           48              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             25             31             32              5              8             17             13              3             22              4             30             19             10             33             26              1
           49              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             33             10             19             30              4             22             13              3             17              8             32              5             31             25             12             26              1
           50              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             33             10             19             30              4             22             13              3             17              8             32              5             31             25             12             26              1
           51              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             33             10             19             30              4             22             13              3             17              8              5             32             31             25             12             26              1
           52              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             33             10             19             30              4             22             13              3             17              8              5             32             31             25             12             26              1
           53              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             10             19             30              4             22             21              2             12             25             31              5             32              8             17             13              3             26              1
           54              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             33             10             19             30              4             22             21              2             12             25             31              5             32              8             17             13              3             26              1
           55              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21             33             10             19             30              4             22              2             12             25             31             32              5              8             17             13              3             26              1
