#   N_BLOCK:  ACCEPTANCE:
           1            0.001604
           2            0.001738
           3          0.00159067
           4            0.001369
           5           0.0013356
           6          0.00125367
           7          0.00140586
           8           0.0015745
           9          0.00157889
          10           0.0015388
          11          0.00176309
          12          0.00180417
          13          0.00184138
          14          0.00185129
          15           0.0018864
          16          0.00183288
          17          0.00180541
          18          0.00176056
          19          0.00173421
          20            0.001748
