#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.993136            0.993136                   0
           2            0.988816            0.990976          0.00152735
           3            0.996406            0.992786          0.00179468
           4             0.99797            0.994082          0.00175256
           5             0.99584            0.994434          0.00143688
           6            0.998226            0.995066          0.00132917
           7            0.989928            0.994332          0.00132654
           8             0.72388            0.960525           0.0316443
           9            0.995182            0.964376           0.0283616
          10            0.996624            0.967601           0.0257082
          11            0.970078            0.967826            0.023372
          12            0.991866            0.969829           0.0215101
          13            0.992548            0.971577           0.0199263
          14            0.991162            0.972976            0.018552
          15             0.84907            0.964715           0.0190657
          16            0.997262             0.96675           0.0179823
          17            0.994672            0.968392           0.0169994
          18            0.997382            0.970003           0.0161311
          19            0.996008            0.971371             0.01534
          20            0.988178            0.972212            0.014596
