#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.892092            0.892092                   0
           2            0.826234            0.859163           0.0232843
           3            0.796758            0.838361           0.0230094
           4             0.97533            0.872603           0.0343104
           5            0.815908            0.861264           0.0292621
           6            0.929296            0.872603           0.0264909
           7            0.932098            0.881102           0.0240313
           8            0.922604             0.88629           0.0215801
           9            0.933218            0.891504           0.0198022
          10             0.81673            0.884027           0.0191818
          11            0.807178            0.877041            0.018667
          12            0.973724            0.885097           0.0187698
          13            0.871468            0.884049           0.0173552
          14            0.936768            0.887815            0.016519
          15             0.93516            0.890971           0.0157164
          16             0.91438            0.892434           0.0148021
          17            0.589858            0.874636           0.0221864
          18            0.943374            0.878454             0.02128
          19            0.965644            0.883043           0.0206488
          20             0.94874            0.886328            0.019876
