#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         151            -1.00788           -0.510328           0.0309951
         152            -1.06351           -0.513967           0.0310041
         153           -0.570572           -0.514337           0.0308037
         154          -0.0487187           -0.511314           0.0307517
         155           -0.018171           -0.508132           0.0307174
         156           -0.018171           -0.504991           0.0306806
         157            -1.10027           -0.508783           0.0307186
         158            -1.10027           -0.512527           0.0307515
         159            -1.10027           -0.516223           0.0307794
         160            -1.10027           -0.519873           0.0308027
         161            -1.10027           -0.523478           0.0308216
         162         -0.00492031           -0.520277           0.0307972
         163           -0.112831           -0.517778           0.0307095
         164           -0.112831           -0.515308           0.0306213
         165          -0.0365296           -0.512407           0.0305729
         166           -0.757079           -0.513881           0.0304243
         167           -0.954508           -0.516519           0.0303563
         168           -0.954508           -0.519126           0.0302873
         169           -0.954508           -0.521703           0.0302175
         170           -0.954508           -0.524248           0.0301468
         171           -0.518966           -0.524218           0.0299705
         172           -0.253932           -0.522646           0.0298374
         173           -0.253932           -0.521093           0.0297054
         174           -0.253932           -0.519557           0.0295743
         175           -0.544616           -0.519701           0.0294057
         176           -0.544616           -0.519842           0.0292389
         177           -0.841174           -0.521658             0.02913
         178         -0.00862743           -0.518775           0.0291086
         179           -0.695471           -0.519763           0.0289627
         180           -0.143295           -0.517671           0.0288772
         181           -0.912537           -0.519853              0.0288
         182           -0.357711           -0.518962           0.0286555
         183           -0.357711           -0.518081           0.0285125
         184           -0.357711           -0.517209           0.0283708
         185           -0.357711           -0.516347           0.0282306
         186           -0.357711           -0.515494           0.0280917
         187           -0.143378           -0.513504           0.0280119
         188           -0.143378           -0.511535            0.027932
         189              -1.071           -0.514495           0.0279406
         190           -0.615582           -0.515027           0.0277986
         191           -0.615582           -0.515554            0.027658
         192          -0.0355645           -0.513054           0.0276267
         193          -0.0355645            -0.51058           0.0275941
         194          0.00150906            -0.50794           0.0275779
         195          0.00150906           -0.505328           0.0275599
         196           -0.917274            -0.50743           0.0274993
         197            -1.03205           -0.510093           0.0274884
         198            -1.03205           -0.512729           0.0274757
         199            -0.25124           -0.511415            0.027369
         200            -0.25124           -0.510114           0.0272631
         201            -0.25124           -0.508826           0.0271578
         202            -0.25124           -0.507551           0.0270533
         203            -0.05846           -0.505339           0.0270103
         204            -0.05846           -0.503148           0.0269666
         205            -0.05846           -0.500979           0.0269222
         206            -0.05846           -0.498831            0.026877
         207         -0.00863956           -0.496463           0.0268513
         208         -0.00863956           -0.494117           0.0268245
         209         -0.00863956           -0.491794           0.0267965
         210           -0.807296           -0.493297            0.026711
         211           -0.872872           -0.495096           0.0266449
         212           -0.327728           -0.494306           0.0265309
         213           -0.327728           -0.493524           0.0264179
         214           -0.457777           -0.493357            0.026295
         215            -1.07993           -0.496085           0.0263138
         216            -1.07993           -0.498788           0.0263304
         217           -0.265344           -0.497713           0.0262311
         218           -0.265344           -0.496647           0.0261324
         219           -0.265344            -0.49559           0.0260344
         220         -0.00424566           -0.493357           0.0260117
         221            -1.05838           -0.495914           0.0260193
         222            -1.05838           -0.498447           0.0260252
         223          -0.0146349           -0.496278           0.0259988
         224          -0.0488892           -0.494281           0.0259593
         225         -0.00976555           -0.492127           0.0259331
         226            -1.07983           -0.494728           0.0259484
         227            -1.07983           -0.497305           0.0259618
         228            -1.07983            -0.49986           0.0259733
         229          0.00230004           -0.497667           0.0259523
         230          0.00230004           -0.495494           0.0259303
         231          0.00230004           -0.493339           0.0259075
         232            -1.09501           -0.495932           0.0259253
         233           -0.931031           -0.497799           0.0258812
         234           -0.931031           -0.499651           0.0258367
