#       RW:                  X:                  Y:                  Z:
          0       3.44129932626      -4.79187782227      0.854355015392
          1      -3.53726342371       1.12861725325        2.9233240855
          2        0.4950372082       1.06682394539       4.30561935148
          3      -1.83883869645      -7.39332094262      -1.24348780174
          4       3.07489992333     -0.144674369632      -14.5724196682
          5        12.642547082      -5.10160694225     -0.465931438139
          6       6.22928169984       2.27330705316     -0.378583545674
          7       7.11583967079     -0.720213778391      0.363081760757
          8      -4.25346511491       -2.3099243709       1.61866352989
          9       7.95775956529       2.97849599981       6.77820380828
         10      0.598609488705      -5.84401921072        10.215421836
         11       4.47727250167        3.9441170041      -3.03049035629
         12      -1.05592644156      -6.35824526957      -2.42800704261
         13       3.51511837314       1.31695577948      -10.7679636832
         14       2.55444372138      -8.76204384402     -0.609553685562
         15       3.21957366196      -6.76910882757       8.94950186008
         16       5.82046966794      0.218929300682      -1.71738462105
         17      -10.1672492261      -3.43495229232       3.42470384797
         18      0.842498795178      0.385883177516      0.641023577486
         19       1.14643249917        12.270190576      -7.13090235572
         20      -2.68916614869      -2.92121797817      -2.67476011781
         21       8.72958668692       4.40569249279       -4.1359456634
         22      -3.88113533334      0.229301646951      -1.52383591091
         23      -5.26992882314      -3.77532327352       7.60629835838
         24       3.03268107771      -6.82548843205       6.77074178396
         25       5.34211997916       1.41646291479     -0.749975201479
         26       9.64952686838       4.19443755395     -0.570391004417
         27       6.05378670479      -2.44658677076      -1.34180360158
         28       1.03710899512       -3.3899563281       1.29016653662
         29       8.57916157002     -0.179636403697       2.87552023656
         30       5.88226851354       6.74890047662       1.25758403191
         31      -4.09723512122      -3.60249832835       2.63560410058
         32      0.845031866258      -5.63907397678      -3.55376636572
         33       3.53227279202       2.36264536522      -8.78520745315
         34      -9.28915671366      -6.51112230464      -13.6759465721
         35     -0.264180761963      -9.01921439245       3.94518264753
         36       -1.9304758222    -0.0541848440771       9.17234051903
         37       2.33027154043      0.349706875997      -7.30068057488
         38      -7.81503136428        1.9807078688      -2.82652618554
         39       6.47445367436      -1.87870146207      -4.34092902543
