#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.999992           -0.999992                   0
           2           -0.999996           -0.999994         1.41422e-06
           3           -0.999696           -0.999895         8.11108e-05
           4           -0.999956            -0.99991         6.22656e-05
           5           -0.999992           -0.999926         5.19273e-05
           6           -0.999996           -0.999938         4.45496e-05
           7           -0.999388           -0.999859         8.21564e-05
           8           -0.999996           -0.999876         7.36391e-05
           9                  -1            -0.99989         6.67233e-05
          10                  -1           -0.999901         6.09473e-05
          11                  -1            -0.99991         5.60646e-05
          12           -0.999948           -0.999913          5.1481e-05
          13            -0.99994           -0.999915         4.75618e-05
          14             -0.9998           -0.999907         4.48729e-05
          15           -0.998928           -0.999842         7.57032e-05
          16           -0.999904           -0.999846         7.10712e-05
          17           -0.999996           -0.999855         6.74379e-05
          18           -0.999992           -0.999862          6.4122e-05
          19           -0.999996           -0.999869         6.11325e-05
          20           -0.999984           -0.999875         5.83444e-05
