#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             166.665             166.665                   0
           2             166.666             166.666         0.000230994
           3             166.404             166.579           0.0711606
           4             166.651             166.597           0.0556557
           5             166.665              166.61           0.0461551
           6             166.666              166.62           0.0393837
           7             165.838             166.508            0.108709
           8             166.666             166.528           0.0968975
           9             166.667             166.543           0.0873515
          10             166.667             166.556           0.0794841
          11             166.667             166.566           0.0728974
          12             166.642             166.572           0.0671033
          13             166.647             166.578           0.0621896
          14             166.513             166.573           0.0579188
          15             165.386             166.494           0.0936248
          16             166.612             166.501           0.0880615
          17             166.666             166.511           0.0834118
          18             166.665              166.52           0.0792132
          19             166.666             166.527           0.0754177
          20             166.662             166.534           0.0719476
