#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1          0.00035552          0.00035552                   0
           2         0.000177769         0.000266644         6.28445e-05
           3           0.0134598          0.00466435          0.00359096
           4          0.00195448          0.00398688          0.00275638
           5          0.00035552          0.00326061           0.0022988
           6         0.000177769           0.0027468          0.00197225
           7           0.0269919          0.00621039          0.00362498
           8         0.000177769          0.00545631          0.00324934
           9                   0          0.00485006          0.00294432
          10                   0          0.00436505          0.00268954
          11                   0          0.00396823          0.00247413
          12          0.00230961          0.00383001          0.00227181
          13          0.00266467          0.00374037          0.00209883
          14          0.00886667          0.00410653          0.00198059
          15            0.047006           0.0069665          0.00332434
          16          0.00426155          0.00679744          0.00312087
          17         0.000177769          0.00640805          0.00296148
          18          0.00035552          0.00607179          0.00281598
          19         0.000177769          0.00576158           0.0026848
          20         0.000710969          0.00550905          0.00256241
