# TIME:         SPOT_PRICE:
      0             96.1257
      1             98.1288
      2             96.9958
      3              98.301
      4             100.311
      5             97.8943
      6             95.6114
      7             92.9999
      8             93.8969
      9              98.399
     10             99.7463
     11             102.425
     12             101.305
     13             104.737
     14             103.891
     15             104.697
     16             104.711
     17             109.683
     18             112.834
     19              111.05
     20             111.051
     21             108.924
     22             110.253
     23              107.74
     24             108.205
     25             106.773
     26             101.524
     27             98.5928
     28             99.5049
     29             102.647
     30             101.423
     31             106.518
     32             103.237
     33             102.219
     34             97.9812
     35             95.3393
     36             95.0142
     37             96.3907
     38             98.5036
     39             99.6818
     40             98.6951
     41             99.9699
     42             95.6584
     43             95.4858
     44             96.1563
     45             93.2479
     46             93.5184
     47             88.7188
     48             86.5587
     49             83.7767
     50               85.72
     51             88.4091
     52             88.0617
     53             90.8488
     54             96.2341
     55             93.7811
     56             94.1745
     57             92.9682
     58             94.0625
     59             93.3296
     60             93.6502
     61             92.6139
     62             93.1542
     63             91.5569
     64             96.6159
     65             95.4869
     66             94.0866
     67             96.6332
     68             95.3156
     69             93.8289
     70             96.4315
     71             92.8194
     72             97.1296
     73             100.317
     74             101.122
     75             102.141
     76              102.81
     77             103.839
     78             102.036
     79             103.157
     80             98.8544
     81             97.4515
     82             96.9168
     83             96.7653
     84             98.4992
     85             101.539
     86             102.186
     87              100.57
     88             100.931
     89             103.468
     90             100.043
     91             98.3319
     92             100.427
     93             97.5245
     94             94.8082
     95             96.1322
     96             93.8102
     97             94.3254
     98             92.3202
     99             92.1628
